"","LV1","LV2","LV3","LV4"
"ARID3A",0.00158535896157464,0.00152462808576082,0.00163636501974418,0.00139302967438641
"ATF1",0.00163654952704171,0.00156544336287602,0.00168206753937298,0.0014372474101553
"ATF2",0.00147259215502779,0.00140759666986477,0.00151292310666355,0.0012935152005366
"ATF3",0.000202684129249006,0.000196561462280606,0.000208958746466012,0.000176755184632604
"ATF4",0.00142053991706036,0.00136500356990836,0.00145933015883816,0.00124647021624279
"ATF5",0.000572377831518147,0.000554297362482792,0.000589292599207984,0.000500250109288728
"ATF6",0.000935971421010462,0.000898839745713486,0.000964801515465561,0.000817931373832995
"BACH1",0.00115954826403502,0.0011290726309029,0.00119983769819156,0.00101240542779776
"BATF",0.000969189943263464,0.000943131288526708,0.00100002020090177,0.000846511004328292
"BCL6",0.000882758757037539,0.000849550994281747,0.000910135786242332,0.000771886551693904
"BHLHE40",0.00120821265969322,0.00116749405287977,0.00124438943930223,0.0010571396656662
"CBFB",0.00181898529585249,0.00174302176708964,0.00186872698694623,0.00159839402601234
"CEBPA",0.00273028750568469,0.00263346143245521,0.00281576103120142,0.00239924765670772
"CEBPB",0.00147843459902528,0.00143354671602098,0.00152779699164189,0.00129212545252317
"CEBPD",0.00225452888553171,0.00216994481572583,0.00232283724580365,0.00197245604431979
"CEBPE",0.00111642633666378,0.00105852833393649,0.00114759436314659,0.000979902928267315
"CEBPZ",0.00180452082219342,0.0017278257465075,0.00185563113437797,0.00158326205331469
"CENPB",0.00214277089196839,0.00205496593497391,0.00219840230913155,0.00188582216033788
"CIC",0.00166577626107558,0.00161208898821992,0.00171748317932874,0.00145831832603542
"CREB3",0.00258787778432498,0.00250304655004514,0.00266067361082439,0.00227011728734611
"CREB5",0.0016709797058659,0.00160469707700363,0.00172344361040588,0.00146319908826863
"CTCF",0.00177351907152356,0.00170271113917799,0.00182086216452656,0.00155913646805739
"DBP",0.00282352059177058,0.00270214437401345,0.0028973942210711,0.00248413300783522
"DDIT3",0.00215252597883768,0.00207076294077139,0.00222008728258543,0.00188694330557283
"DNMT1",0.00194074089454923,0.00186335129295878,0.0019937533795784,0.00170651472436463
"EGR1",0.000116627974066607,0.000112805111983045,0.000120010230763895,0.000101881610880229
"ELF1",0.0012796422951797,0.00122895202214383,0.00131614515034771,0.00112420230187362
"ELF4",0.00140462546760426,0.00135553144082125,0.00144671391029525,0.00123059224738313
"ELK3",0.00192878927630633,0.00185525311937103,0.00198291068743558,0.0016937538075241
"ENO1",0.00237000203606197,0.00228561048260858,0.00243790421607409,0.00208107189705861
"EOMES",0.00141007277734549,0.00135996184041012,0.00144910155211549,0.00123701605218346
"EP300",0.00176802661385603,0.00169585266799424,0.00181785420673802,0.00155277983394086
"ERF",0.00219531368584207,0.00211311188619552,0.0022604992511787,0.00192425882580021
"ESRRA",0.00317002919540554,0.00302925804487943,0.00325832642455723,0.00278658547594974
"ETS1",0.00241237601787977,0.00231020310581967,0.00247585442396441,0.00212429720940665
"ETS2",0.00194892145771111,0.00190901341577085,0.00201966021029991,0.00169917780419232
"ETV6",0.00106347607817932,0.00102523108280803,0.00109676249966817,0.000928986125985052
"ETV7",0.000317007785635212,0.000306905213619239,0.000326474268583567,0.000275929892111275
"FLI1",0.00212711408683421,0.00203282356254067,0.00218513409622231,0.00186830156781049
"FOS",0.000484505102164035,0.000468921773723562,0.000499804975285897,0.000424363233383349
"FOSL2",0.0014904063338197,0.00142288482674137,0.00153345011533397,0.00130770103364154
"FOXO3",0.000744672598157415,0.000712894939465403,0.000766652843874647,0.000653155192565541
"FOXO4",0.00106649411650258,0.00103553018072526,0.00110216286181761,0.000932316786352968
"FUBP1",0.00168048694442719,0.00161036329200398,0.00172513091239842,0.00147954412779652
"GABPA",0.00173572664557159,0.00167843122753984,0.0017893112440616,0.00151977047454517
"GATA1",0.00126441447523757,0.00122655246323962,0.00130481555602257,0.0011038372965668
"GATA2",0.000976178622006802,0.0009479569455013,0.00100655116984561,0.000854172767341782
"GATA3",0.00190552238496028,0.00183688329034078,0.00195966301234697,0.00167478837381267
"GFI1",0.00102552159453618,0.000995198529630931,0.00105554630817613,0.000897194801275518
"GFI1B",0.00181943362438281,0.00176638216025691,0.00187602502795245,0.00158901055290033
"HBP1",0.00194945643606965,0.00186108412026052,0.00200534830565906,0.00170965820548538
"HES4",0.000223318638470562,0.000215701157330357,0.000229984137434518,0.000194960099932275
"HHEX",0.000933414294684951,0.000887722765985583,0.000957396875280754,0.000818998683393173
"HIF1A",0.000902889682899457,0.000863800982292238,0.000928835137276282,0.000791529539205846
"HLX",0.00153730080608674,0.00147765879059019,0.00158300723355354,0.00134555717972889
"HMG20B",0.0029368190823703,0.00282896599942122,0.00302083860429298,0.00257843289941149
"HOXB2",0.00180155700810139,0.00172836447464148,0.00184932452480549,0.00158015200934341
"HSF1",0.00305315835394763,0.00293751474843448,0.00313779670198894,0.00268278854232628
"IKZF1",0.00216171623878365,0.00206935925679046,0.00221944678227267,0.00190290010279944
"IRF1",0.000890948976455379,0.000858071554035482,0.000916797014886776,0.000778830469701859
"IRF2",0.00102283009974415,0.000982105527361448,0.0010526637575054,0.000895844605764443
"IRF3",0.00292121627993138,0.00281081512231721,0.00300079090363711,0.00256723312877086
"IRF5",0.0013539794732475,0.00130542928528599,0.00139347589700008,0.00118599542264954
"IRF7",0.000543515749987064,0.000529095149396105,0.00056047846946782,0.000472552934914096
"IRF8",0.00185066316668828,0.00176268967372432,0.00189477059147826,0.00162411584138469
"IRF9",0.00141389077102276,0.00135935276441138,0.0014537929841715,0.0012366288025703
"JUNB",0.00153662317958862,0.00148638874018324,0.00158728000112922,0.00134139265418578
"JUND",0.00293175440546286,0.00282609121375998,0.00301443891217361,0.00257899908409285
"KLF1",0.00129495281923978,0.00126213687955982,0.00133830138372414,0.00112910639311086
"KLF13",0.00246651218994498,0.00236144999405515,0.00253154987273924,0.00217051480096717
"KLF16",0.00325059576026949,0.00312772421868851,0.0033456467757232,0.00285314470921282
"KLF2",0.00353000969823884,0.0033863742090264,0.00362405743980248,0.00310229355118943
"KLF3",0.00182201524730916,0.00174596004261019,0.00187508056195252,0.00160181792264821
"KLF4",0.00249297828022184,0.00242082205067374,0.00257512509588391,0.00218714879804172
"LEF1",0.00182603241909567,0.00173791988151442,0.00187219458383684,0.00161007332850652
"LMO2",0.000902578627313886,0.000872965055454796,0.000931345485889815,0.000789321021891897
"MAFB",0.000640372935712925,0.00062415568153067,0.000661443056766844,0.000560193345001459
"MAFK",0.00362450352520909,0.00347368511728651,0.00372269520826156,0.00318423857102203
"MAX",0.0032838387108402,0.00314026137699987,0.00337171579088765,0.0028816838239746
"MAZ",0.00365926374202696,0.00351691853967979,0.00375944402362363,0.00321610979823385
"MBD2",0.00227391788802753,0.00217741257725305,0.00234103226844475,0.00200054238944595
"MEF2A",0.00161101915870491,0.0015406649633716,0.00165493735232803,0.00141045168731556
"MEF2D",0.00422219809104637,0.00403840936173,0.00433516364982802,0.00371130723487359
"MXI1",0.0009123954470234,0.000891250149142749,0.000945126806306386,0.000795804267498407
"MYBL1",0.00182178275208014,0.00174614298444901,0.00187359724717015,0.0015979146519761
"MYBL2",0.00107466518794199,0.00103434974621469,0.00110392456470817,0.000940362927883596
"MYC",0.00331910794766552,0.00317819943062119,0.00340773525107702,0.00291900940055736
"NFATC2",0.00201134686703865,0.00194470132128135,0.00206771710162558,0.00176620585605948
"NFATC3",0.00245183914097287,0.00235903066401648,0.0025215341515511,0.00215745108429643
"NFE2",0.00196825133031909,0.00191517274331297,0.00203498655173569,0.00171848946909663
"NFE2L2",0.00153452510598032,0.0014828102416677,0.00158472813080894,0.00134319426664975
"NFIX",0.00106297792610891,0.00103307685314125,0.00109721900007388,0.000927039823408088
"NFKB1",0.00279855032043993,0.00269656267378055,0.00287966988589735,0.00245597786525736
"NFKB2",0.00210191774659978,0.00202120326683688,0.00216252482476715,0.001841507335254
"NFYC",0.00334094923802838,0.00321201054690824,0.0034385518210882,0.00293094688530208
"NR1H2",0.00273296687622944,0.00264001673376369,0.00281560132798734,0.00239516810423921
"NR3C1",0.00398665033796936,0.00379890913609912,0.00409471195084715,0.00350701831910468
"OLIG1",0.00243036734780157,0.00233647421422662,0.00251008728148746,0.00213707408988932
"PBX2",0.00511921612550306,0.00492532432412996,0.00527663205030832,0.00448788110975212
"POU2F2",0.00403187494429595,0.00387885247610606,0.00414845004688367,0.00354752575941472
"RARA",0.0041400233830882,0.00400028956742659,0.00427167984349267,0.00362873163817725
"RBPJ",0.00391039618636193,0.00376681080527728,0.00403577718722024,0.00342989123433791
"RELA",0.00578847653646124,0.00557091833017174,0.00594657032536979,0.00507800325386689
"RELB",0.00421565353902903,0.00407790262501157,0.00434541509358541,0.00368456342103351
"RFX2",0.00285744260343575,0.00274037354557506,0.00294133575414468,0.00250925028456741
"RFX5",0.0051787022577375,0.00493857728283623,0.00530424524402601,0.0045501625715505
"RORA",0.00380728434747931,0.00365833706950177,0.00391342475917464,0.00333972415688322
"RUNX3",0.00309753374773754,0.00298574397714516,0.00318335031189182,0.0027179638568789
"RXRA",0.0042317397767415,0.00407257768759073,0.00436094448073046,0.00370933854564303
"RXRB",0.00636108700933085,0.00609954756716124,0.0065355723506792,0.00559165809499386
"SMARCC2",0.0050275237950462,0.00481484052584301,0.0051594509033328,0.00442453274537166
"SP1",0.00374591310194461,0.00358990675854658,0.0038592900729387,0.00328361976497963
"SP2",0.00395752436810128,0.00380156611231085,0.0040677176586681,0.00347653075306194
"SP3",0.00404334727172074,0.00385681382963256,0.00415764232966363,0.00355055528039991
"SPI1",0.00513446666943196,0.00495306613661865,0.00529475807620795,0.00449794520740762
"SREBF1",0.00316233278029071,0.00303578547077725,0.00325002321245762,0.00278786854983805
"SREBF2",0.0057687431846481,0.00552317169694841,0.00591478326961508,0.00506710396652173
"STAT1",0.00141337985833318,0.00136288980090641,0.00145396380621721,0.00123323866313572
"STAT2",0.00127091777984323,0.00122476791334671,0.0013062538590371,0.00110952163857288
"STAT3",0.00596191120473591,0.0057547090461422,0.00614817032169065,0.00522065000589022
"STAT4",0.00515332986739727,0.00497400574301079,0.00530821877481398,0.00451904658553238
"STAT5A",0.00335421020361779,0.0032242594933771,0.0034528792279395,0.00294168445055816
"STAT5B",0.00277457427628424,0.00266370759911152,0.00285917356278091,0.00243256405029459
"STAT6",0.00510621927761906,0.00490242961970204,0.00525149931365685,0.00448200115626947
"TAL1",0.00245303994708131,0.00239825829022509,0.00253635856063893,0.00213752231560494
"TBX21",0.00175705824168542,0.0017064902840263,0.00181006312765543,0.00153897621861354
"TCF3",0.00549773931921325,0.00526209123876694,0.00563244679453451,0.00483257719961812
"TCF7",0.00344360189818628,0.00329214082327909,0.00353370695560445,0.00303175489385716
"TFDP1",0.00183139685061388,0.00179065803366116,0.00189663667800776,0.00160083023365632
"TFE3",0.00416592255391671,0.00402705394199408,0.0042990153287913,0.00364635143220226
"TFEB",0.00440142271486406,0.00422313871843006,0.00452972017229804,0.0038605535817095
"TFEC",0.00207305192526567,0.00198619118042425,0.00213160899410921,0.00181491552725147
"TOPORS",0.00532943332076795,0.00506943160655789,0.00547465521345351,0.00468064284631158
"TP53",0.00548707933880538,0.00527005235565732,0.00563232959391279,0.00482450756121461
"USF1",0.00455935558917938,0.00437116213197569,0.00468474438970725,0.00399658867079764
"USF2",0.00442726437130615,0.00426168948498249,0.00454958770383809,0.00388393442251992
"VENTX",0.00388495788202336,0.00379042644836084,0.00402285665891605,0.00339902830106611
"XBP1",0.00383629749167144,0.00370325333236826,0.0039478328092258,0.00336410478160083
"YBX1",0.00329653857842158,0.00318828286217016,0.00339592523300966,0.00288469629852389
