"","None_1","None_2","Basal_Normal","LumA_LumB","Basal"
"TSPAN6",0.00993043440049363,0.0102932042407158,0.0105534402642826,0.0105343657028627,0.0108289191149148
"TNMD",0.000983285502435963,0.00101498741958109,0.00103075450235355,0.000965387112095991,0.00110381022662311
"DPM1",0.0183022843683668,0.0188092382761439,0.0193481587166802,0.0195239172145713,0.0198558832665401
"CFH",0.0120179814595059,0.0124293518037704,0.0127576123889614,0.012959921906553,0.0129267533672909
"FUCA2",0.0210890371732659,0.0215798242080796,0.0222512999077089,0.0225393331450638,0.022789113616991
"NFYA",0.0120578560794741,0.0124499368149682,0.0127766337782139,0.0127131494708237,0.0132169572576392
"ENPP4",0.0077322600729156,0.00799835357700645,0.00820830484832291,0.00838080062739915,0.00827684085633024
"SEMA3F",0.0439112385422136,0.0451377620127217,0.0463525226561489,0.0482882331410811,0.046612229938378
"LAP3",0.0311273160644858,0.0320564580358928,0.0329613855219404,0.033268203254795,0.0337048866085763
"CD99",0.0357707989943736,0.0369586637382834,0.0379099373752635,0.0383901166000539,0.0387582406154933
"LASP1",0.0107042132902741,0.0109463390016176,0.0112746505320315,0.0116733123706144,0.0113843378617494
"TMEM176A",0.018119381778354,0.0187728042902504,0.0192623025492064,0.0193013277710842,0.0197361903289101
"M6PR",0.0562082653558128,0.0579026281986196,0.0594873834632751,0.0601398009470697,0.0607902151976332
"DBNDD1",0.0254865525889405,0.0261445947816855,0.0269348411434062,0.0268478313317865,0.0278775096413471
"SLC7A2",0.0172220338356033,0.0178725841511642,0.018201576749134,0.0195609226998301,0.0178816825074759
"ARF5",0.0846903720645907,0.0875442100808129,0.0898320657340839,0.0902050366299102,0.0923485203542425
"POLDIP2",0.0515922160360401,0.0527393438486704,0.054354538272971,0.0556376953993437,0.0554113742124756
"PLXND1",0.0201366121946808,0.0207151216945817,0.0213015273932819,0.0217166581065577,0.0216513102126735
"FKBP4",0.0374966935965689,0.0384403880640248,0.0395269012178339,0.04074023272103,0.0401131503665677
"KDM1A",0.0379624744300599,0.0393285468762167,0.0402509741230365,0.0403037103826758,0.0415143303047088
"HSPB6",0.0120997490142745,0.012684338532297,0.0129510193039613,0.0130670377349244,0.0130677109803044
"NDUFAB1",0.0690679249755786,0.0710689169522584,0.0730221344887248,0.0742168169457905,0.0746428682424768
"PDK4",0.0125996343564975,0.0132158414367512,0.0134739381557953,0.0137964462514894,0.0134736556254817
"HCCS",0.00701458095296664,0.00719320367491785,0.00741054196629463,0.00746421974837955,0.00761022375547005
"SLC25A5",0.0287901747201897,0.0296286355092363,0.0304575069728806,0.030554272010265,0.0313657533714842
"POLR2J",0.0394854695651367,0.0407319517246751,0.0418269757753597,0.0422226723301094,0.0428995390930649
"COPZ2",0.0173938817265626,0.0180252131422963,0.0184544212544614,0.0188567112430156,0.0187225834736739
"PRKAR2B",0.020867621556534,0.0214939032300717,0.0220616564628021,0.0227203843064996,0.0222968879974006
"RHBDD2",0.0623454641299094,0.0643791841862906,0.0659829334840002,0.0677483184048521,0.0669240647692888
"ITGA3",0.0131098901221454,0.0135256866780578,0.0138779148020303,0.0143253002424638,0.0139663966025401
"LAMP2",0.0605359385100291,0.0621857232799644,0.0640135563176074,0.0641274122513114,0.0658592165463235
"GDE1",0.0538772686262379,0.0557475040262401,0.0570281767531681,0.0591913029649466,0.0574017951131722
"CRLF1",0.00479114778049906,0.0050125219283781,0.00510061280068043,0.00453846381945554,0.00570977827381893
"TMEM98",0.0262247185962049,0.0272681759639572,0.027861149316841,0.0282810964710599,0.0283643983229444
"TMEM132A",0.0320978098853215,0.0327165514771743,0.0338337427101267,0.0336376603750086,0.035204135480581
"AP2B1",0.0340046260577398,0.0349567372306048,0.0358897726389143,0.0371205409347235,0.0362504788395858
"CX3CL1",0.00846605508994538,0.00880910516599028,0.00906138899661503,0.00862015156755433,0.0094599975896238
"SPATA20",0.0173679331151257,0.0177518987452576,0.0183013748090923,0.0190135789166078,0.0184101167236321
"TNFRSF12A",0.0257934676471158,0.0266386826888827,0.0273268643437662,0.0274590862372792,0.0281388275621704
"RALA",0.0808647483807695,0.0831917345277068,0.0854623255080404,0.0866525436408875,0.0873990181442712
"GGCT",0.0363299304600602,0.0367643784213826,0.0381075916229409,0.0386978475118124,0.0391724475357056
