"","LV1","LV2","LV3","LV4","LV5","LV6","LV7","LV8","LV9","LV10","LV11","LV12","LV13","LV14","LV15","LV16","LV17","LV18","LV19","LV20","LV21","LV22","LV23","LV24","LV25"
"RALGPS2",0.11505126953125,0.113525390625,0.03436279296875,0.06512451171875,0.00566482543945312,6.25848770141602e-06,3.57627868652344e-07,0.06951904296875,0.050018310546875,2.20537185668945e-06,0.052001953125,0.0745849609375,0.049530029296875,0.04937744140625,0.00613021850585938,0.00155258178710938,0.317138671875,1.59740447998047e-05,0.00525283813476562,0.2265625,1.01327896118164e-06,0.07427978515625,8.76188278198242e-06,3.01003456115723e-05,0.00014495849609375
"ATP6V1E1",0.06878662109375,0.14306640625,0.046905517578125,0.1884765625,0.09765625,0.1375732421875,0.0126800537109375,0.095703125,0.192138671875,0.1458740234375,0.0367431640625,0.122314453125,0.05303955078125,0.0257110595703125,0.0266571044921875,0.1195068359375,0.0125198364257812,0.056915283203125,0.00811004638671875,0.00321769714355469,0.0687255859375,0.040496826171875,0.086181640625,0.0125885009765625,0.05364990234375
"TTC9C",0.3134765625,0.1475830078125,0.04302978515625,0.0199127197265625,0.10223388671875,0.00187969207763672,0.11138916015625,0.08233642578125,0.06732177734375,0.06768798828125,0.00310897827148438,0.110595703125,0.038787841796875,0.0067138671875,0.0308380126953125,0.0182952880859375,0.035552978515625,0.0263519287109375,0.0078582763671875,0.0914306640625,0.128662109375,0.1190185546875,0.08441162109375,0.015289306640625,0.09173583984375
"GGA1",0.26220703125,0.103515625,0.09075927734375,0.064697265625,0.03228759765625,0.086669921875,0.155029296875,0.00310516357421875,0.015289306640625,0.0308685302734375,0.0157318115234375,0.06097412109375,0.0220794677734375,0.044708251953125,0.05975341796875,0.0295257568359375,0.0201568603515625,0.0672607421875,0.14404296875,0.083984375,0.0513916015625,0.069580078125,0.0921630859375,0.07159423828125,0.021392822265625
"UBA52",0.043670654296875,0.0323486328125,0.00472259521484375,0.06756591796875,0.039825439453125,0.10040283203125,0.0122451782226562,0.037322998046875,0.0672607421875,0.0156402587890625,0.00981903076171875,0.035736083984375,0.054290771484375,0.0162353515625,0.0251922607421875,0.00775146484375,0.014739990234375,0.0270538330078125,0.0239715576171875,0.005462646484375,0.0139007568359375,0.014068603515625,0.0243072509765625,0.031982421875,4.76837158203125e-07
"GORASP2",0.35693359375,0.00716018676757812,0.011932373046875,0.056793212890625,0.06085205078125,0.08203125,0.08050537109375,0.0143585205078125,0.0804443359375,0.1329345703125,0.04925537109375,0.024993896484375,0.038726806640625,0.06903076171875,0.0117721557617188,0.00235557556152344,0.0986328125,0.04608154296875,0.000775814056396484,0.00137233734130859,0.060577392578125,0.000263690948486328,0.0148239135742188,0.08990478515625,0.0565185546875
"CLTC",0.13134765625,0.034271240234375,0.10052490234375,0.000889778137207031,0.0780029296875,0.04437255859375,0.03546142578125,0.053314208984375,0.00565338134765625,0.20751953125,0.09967041015625,2.98023223876953e-07,0.0828857421875,0.0533447265625,0.07647705078125,0.0899658203125,0.1063232421875,0.0255584716796875,0.0163726806640625,0.000792503356933594,0.0467529296875,0.0139999389648438,7.21216201782227e-05,0.032928466796875,0.045928955078125
"DNAJA1",0.07489013671875,0.1773681640625,0.039276123046875,0.08135986328125,0.114990234375,0.03656005859375,0.0138702392578125,0.12371826171875,0.1171875,0.03668212890625,0.0142822265625,0.1351318359375,0.00183010101318359,0.00101375579833984,0.00685882568359375,0.019134521484375,0.0242767333984375,0.00165081024169922,0.00172519683837891,0.021331787109375,0.00818634033203125,0.00663375854492188,0.046966552734375,3.12924385070801e-05,0.02899169921875
"MARS1",0.252197265625,0.056854248046875,0.100341796875,0.06842041015625,0.06103515625,0.031829833984375,0.04388427734375,0.021087646484375,0.01422119140625,0.09417724609375,0.08990478515625,0.044647216796875,0.010223388671875,0.06524658203125,0.040618896484375,0.06793212890625,0.0675048828125,0.0183563232421875,0.08544921875,0.07525634765625,0.031951904296875,0.03668212890625,0.046875,0.033966064453125,0.00725555419921875
"PRCC",0.28076171875,4.76837158203125e-07,0.000748634338378906,0.1605224609375,0.075439453125,0.1591796875,0.08489990234375,0.036895751953125,0.04241943359375,0.2091064453125,0.178466796875,0.000156521797180176,0.00821685791015625,0,0.07159423828125,0.062469482421875,0.09918212890625,0.1748046875,0.073486328125,5.71012496948242e-05,0.067138671875,0.00113105773925781,0.0156021118164062,0.1439208984375,7.13467597961426e-05
"SYK",0.106689453125,0.0220794677734375,0.107666015625,0.048248291015625,0.106201171875,0.061553955078125,0.0221710205078125,0.09521484375,0.039093017578125,0.1734619140625,0.11505126953125,0.021636962890625,0.07012939453125,0.10693359375,0.097412109375,0.140380859375,0.1002197265625,0.08355712890625,0.055633544921875,0.031951904296875,0.10540771484375,0.0634765625,0.014801025390625,0.067626953125,0.042724609375
"RAB1B",0.09722900390625,1.49011611938477e-06,0.0187530517578125,0.11187744140625,0.048095703125,0.16162109375,0.144287109375,0.11358642578125,0.017181396484375,0.144775390625,0.0552978515625,7.68899917602539e-06,0.0921630859375,0.11163330078125,0.1396484375,0.12200927734375,0.0135726928710938,0.1956787109375,0.10833740234375,0.000734806060791016,0.0975341796875,0.0792236328125,0.0745849609375,0.139892578125,0.00735092163085938
"TRAPPC6A",0.25048828125,0.12225341796875,0.00370216369628906,0.1851806640625,0.000836372375488281,0.169189453125,0.0223541259765625,0.00200462341308594,0.09722900390625,0.00757598876953125,0.000447511672973633,0.091796875,0.017242431640625,0.0105667114257812,0.0234222412109375,0.000183224678039551,0.000901699066162109,0.11236572265625,0.08331298828125,0.00149345397949219,0.03570556640625,0.00428390502929688,0.17041015625,0.1158447265625,0.036376953125
"BTF3",0.09515380859375,0.098876953125,3.21865081787109e-06,0.12213134765625,0.02252197265625,0.140380859375,4.86373901367188e-05,0.0167388916015625,0.1795654296875,0.0102767944335938,0.000963211059570312,0.1370849609375,0.06060791015625,0.0122604370117188,0.00954437255859375,3.45706939697266e-06,0.0154495239257812,0.0234375,0.00107669830322266,0.00541305541992188,0.0153350830078125,0.00237083435058594,0.035614013671875,0.0221099853515625,0.000556468963623047
"PRDX5",0.0050506591796875,0.03765869140625,0.000722408294677734,0.1263427734375,0.02337646484375,0.2188720703125,0.02410888671875,0.048065185546875,0.11517333984375,0.0302276611328125,0.00206375122070312,0.0457763671875,0.1107177734375,0.015777587890625,0.053558349609375,0.048797607421875,2.20537185668945e-06,0.06317138671875,0.05023193359375,0.00665664672851562,0.042449951171875,0.0477294921875,0.0716552734375,0.04412841796875,0.0105819702148438
"GIT2",0.1575927734375,0.021636962890625,0.2066650390625,0.0112075805664062,0.091796875,0.0113067626953125,0.035858154296875,0.060333251953125,0.05255126953125,0.2203369140625,0.152587890625,0.0216522216796875,0.06536865234375,0.06427001953125,0.0992431640625,0.221923828125,0.11083984375,0.043243408203125,0.0211181640625,0.0146560668945312,0.10137939453125,0.03497314453125,0.00150966644287109,0.00901031494140625,0.0028228759765625
"RAP1A",0.11676025390625,0.251220703125,0.162353515625,0.1021728515625,0.0249176025390625,0.00143051147460938,0.03387451171875,0.08917236328125,0.1083984375,0.044586181640625,0.0181732177734375,0.1431884765625,0.07666015625,0.00111865997314453,0.0107421875,0.1212158203125,0.045318603515625,0.0196990966796875,0.00156402587890625,0.044403076171875,0.05499267578125,0.0814208984375,0.059722900390625,0.000179886817932129,0.09161376953125
"PFN1",0.10699462890625,1.69277191162109e-05,0.00213241577148438,0.12158203125,0.046600341796875,0.1397705078125,0.1009521484375,0.036163330078125,0.044525146484375,0.1024169921875,0.031707763671875,0.018524169921875,0.03485107421875,0.0635986328125,0.052490234375,0.0572509765625,0.0221405029296875,0.099365234375,0.058563232421875,0.000246286392211914,0.0732421875,0.03997802734375,0.07958984375,0.083984375,0.00853729248046875
"AP2A1",0.050048828125,4.20212745666504e-05,0.0232696533203125,0.000772953033447266,0.0975341796875,0.2376708984375,0.059417724609375,0.051116943359375,0.07257080078125,0.1495361328125,0.057373046875,5.36441802978516e-07,0.181396484375,0.0885009765625,0.125,0.044525146484375,0.03326416015625,0.1134033203125,0.0830078125,0.006317138671875,0.0810546875,0.05877685546875,0.00739669799804688,0.08514404296875,0.0269317626953125
"YWHAE",0.180908203125,0.0306854248046875,0.00270271301269531,0.08856201171875,0.11370849609375,0.11090087890625,0.05389404296875,0.05804443359375,0.076416015625,0.1422119140625,0.00577926635742188,0.046630859375,0.053375244140625,0.05560302734375,0.0208587646484375,0.02703857421875,0.06341552734375,0.056365966796875,0.00514602661132812,0.00030970573425293,0.123046875,0.056732177734375,0.07806396484375,0.0987548828125,0.0858154296875
"RPS2",0.212646484375,0.1453857421875,0.0264892578125,0.15478515625,0.028717041015625,0.1002197265625,0.029876708984375,0.0301361083984375,0.11785888671875,0.02197265625,0.0266571044921875,0.138671875,0.0300750732421875,0.041717529296875,0.03399658203125,0.017974853515625,0.034271240234375,0.052642822265625,0.050384521484375,0.051116943359375,0.0294342041015625,0.03656005859375,0.08056640625,0.052032470703125,0.020782470703125
"FASTK",0.258544921875,0.147705078125,0.00604248046875,0.10308837890625,0.0291900634765625,0.12017822265625,0.11846923828125,2.86102294921875e-05,1.06692314147949e-05,1.33514404296875e-05,0.000452995300292969,0.0203094482421875,0.00113773345947266,0.0159912109375,0.021759033203125,3.48091125488281e-05,0.000767707824707031,0.0201263427734375,0.22119140625,0.1531982421875,0.00538253784179688,0.08551025390625,0.1612548828125,0.09552001953125,0.0125045776367188
"MYL4",1.96695327758789e-06,0.000112175941467285,3.39746475219727e-06,8.82148742675781e-05,0.043609619140625,0.26416015625,0.00112152099609375,0.0653076171875,0.12078857421875,7.74860382080078e-07,2.92062759399414e-06,9.5367431640625e-07,0.23876953125,8.34465026855469e-07,0.0482177734375,7.92741775512695e-06,0.000422239303588867,0.000453948974609375,0.0261993408203125,0.0176239013671875,2.20537185668945e-06,0.0120773315429688,7.21216201782227e-06,4.58359718322754e-05,6.55651092529297e-07
"EIF1B",0.00998687744140625,0.02581787109375,0.0273895263671875,0.050994873046875,0.057281494140625,0.1488037109375,3.03983688354492e-06,0.0933837890625,0.11614990234375,0.02679443359375,0.0119094848632812,0.00214385986328125,0.169677734375,0.00667953491210938,0.08209228515625,0.037200927734375,0.014892578125,0.0242919921875,0.0129470825195312,0.02374267578125,0.022979736328125,0.045196533203125,0.000453710556030273,0.00703811645507812,0.000179767608642578
"ZNRF2",0.06982421875,0.280029296875,0.06280517578125,1.34110450744629e-05,0.1480712890625,4.05311584472656e-06,0.09765625,0.1590576171875,0.0122299194335938,6.55651092529297e-07,1.78813934326172e-05,0.1392822265625,0.044677734375,4.76837158203125e-06,5.36441802978516e-07,8.94069671630859e-07,0.09625244140625,8.34465026855469e-07,7.74860382080078e-07,0.10003662109375,0.00243568420410156,0.08197021484375,0.00130462646484375,1.02519989013672e-05,0.1396484375
"PRKCSH",0.2161865234375,0.00482940673828125,0.040191650390625,0.16259765625,0.0135421752929688,0.1241455078125,0.03363037109375,0.000264167785644531,0.057861328125,0.11669921875,0.1328125,0.043914794921875,0.00201797485351562,0.156494140625,0.0731201171875,0.039459228515625,0.06707763671875,0.1226806640625,0.12939453125,0.041351318359375,0.045318603515625,0.0102081298828125,0.0587158203125,0.12939453125,0.00271987915039062
