"","LV1","LV2","LV3","LV4","LV5","LV6","LV7","LV8","LV9","LV10","LV11","LV12","LV13","LV14","LV15","LV16","LV17","LV18","LV19","LV20","LV21","LV22","LV23","LV24","LV25"
"HTP0340A",0.2587890625,0.291015625,0.1773681640625,0.259033203125,0.10272216796875,0.50830078125,0.127685546875,0.13232421875,0.12451171875,0.445556640625,0.047698974609375,0.0772705078125,0.46142578125,0.2249755859375,0.185302734375,0.37060546875,0.046142578125,0.443115234375,0.22900390625,0.1143798828125,0.55126953125,0.4912109375,0.3583984375,0.279296875,0.421630859375
"HTP0351A",0.2685546875,5.36441802978516e-07,4.17232513427734e-07,0.8095703125,0.005767822265625,0.958984375,0.14453125,0.16748046875,0.0151214599609375,0.407470703125,0.000777244567871094,0.00459671020507812,0.0300750732421875,0.42626953125,0.294677734375,0.10650634765625,4.76837158203125e-07,0.6669921875,0.392333984375,0.000791549682617188,0.6875,0.49853515625,0.625,0.68603515625,0.138671875
"HTP0380A",0.7470703125,3.57627868652344e-07,4.13060188293457e-05,0.129638671875,0.032958984375,0.580078125,0.12646484375,0.0237579345703125,0.0171966552734375,0.60107421875,0.446533203125,4.76837158203125e-07,0.282958984375,0.56787109375,0.4833984375,0.27783203125,0.192138671875,0.568359375,0.40869140625,0.0765380859375,0.131103515625,0.058258056640625,0.04412841796875,0.44775390625,3.09944152832031e-06
"HTP0478A",1.0859375,0.71630859375,0.369140625,0.04168701171875,0.13818359375,0.0859375,0.72265625,0.03131103515625,0.133056640625,0.10565185546875,0.133544921875,0.36328125,0.034393310546875,0.1383056640625,0.0965576171875,0.0985107421875,0.23583984375,0.15576171875,0.20068359375,0.330322265625,0.111328125,0.1396484375,0.2213134765625,0.0889892578125,0.28271484375
"HTP0510A",0.451904296875,1.044921875,0.062744140625,0.193359375,0.1041259765625,0.260009765625,0.160888671875,0.026092529296875,0.4609375,0.357666015625,0.03173828125,0.578125,0.1722412109375,0.1278076171875,0.003997802734375,0.145263671875,0.0672607421875,0.2054443359375,0.06903076171875,0.02008056640625,0.389404296875,0.1357421875,0.2091064453125,0.1514892578125,0.385009765625
"HTP0382A",0.8291015625,0.04290771484375,0.27978515625,0.34814453125,0.19384765625,0.13525390625,0.00197982788085938,0.0472412109375,0.031341552734375,0.7099609375,0.43310546875,0.056365966796875,0.034820556640625,0.54541015625,0.0101852416992188,0.49755859375,0.2744140625,0.1893310546875,0.30517578125,0.1689453125,0.45751953125,0.30615234375,0.1651611328125,0.2386474609375,0.279052734375
"HTP0402A",0.82666015625,0.419677734375,0,0.0745849609375,0.109619140625,0.24072265625,0.29833984375,0.12432861328125,0.1859130859375,0.45166015625,0.38427734375,0.0770263671875,0.308349609375,0.25537109375,0.2261962890625,0.42724609375,0.385498046875,0.2313232421875,0.141845703125,0.2381591796875,0.1763916015625,0.1419677734375,0.0426025390625,0.0794677734375,0.197509765625
"HTP0516A",0.978515625,0.60546875,0.00251579284667969,0.394287109375,0.0006103515625,0.081787109375,0.020172119140625,0.0494384765625,0.485107421875,0.02703857421875,0.1282958984375,0.79931640625,0.000827312469482422,0.1207275390625,0.25048828125,0.10467529296875,0.06414794921875,0.294677734375,0.1148681640625,0.2403564453125,0.11029052734375,0.1162109375,0.359619140625,0.09521484375,0.08648681640625
"HTP0019B2",1.0986328125,0.07135009765625,0.42138671875,0.196533203125,0.1300048828125,0.244140625,0.223388671875,0.000573158264160156,0.0638427734375,0,0.5234375,0.019439697265625,0.253662109375,0.452880859375,0.023284912109375,0.4208984375,0.51171875,0.2125244140625,0.1632080078125,0.259521484375,0.406005859375,0.1717529296875,0.053253173828125,0.27392578125,0.186767578125
"HTP0119A",0.92138671875,0.325927734375,0.380859375,0.044342041015625,0.106689453125,0.19189453125,0.424560546875,0.031036376953125,0.11639404296875,0.49951171875,0.38818359375,0.03094482421875,0.253173828125,0.25537109375,0.17041015625,0.222900390625,0.404541015625,0.396240234375,0.149658203125,0.096435546875,0.04937744140625,0.0078125,0.0875244140625,0.185302734375,0.12493896484375
"HTP0147B",1.34765625,0.1868896484375,0.50634765625,0.1275634765625,0.1065673828125,0.00262832641601562,0.057891845703125,0.035369873046875,0.0198974609375,0.426513671875,0.50927734375,0.000201702117919922,0.132568359375,0.361083984375,0.09625244140625,0.30126953125,0.52685546875,0.2010498046875,0.10345458984375,0.28076171875,0.1346435546875,0.0770263671875,0.00194168090820312,0.1319580078125,0.158447265625
"HTP0395A",0.89404296875,0.10955810546875,0.00115776062011719,0.0160980224609375,0.087646484375,0.783203125,0.114501953125,0.00105094909667969,0.56884765625,0.2113037109375,0.1441650390625,0.04278564453125,0.689453125,0.188232421875,0.1253662109375,4.92334365844727e-05,0.33154296875,0.08282470703125,0.06951904296875,0.2100830078125,0.028228759765625,0.019805908203125,0.0276336669921875,0.22509765625,0.112060546875
"HTP0306A",0.4150390625,4.76837158203125e-07,0.352783203125,0.045074462890625,0.0121383666992188,0.1519775390625,0.0789794921875,0.1802978515625,7.62939453125e-06,0.95166015625,0.5322265625,3.57627868652344e-07,0.15380859375,0.47705078125,0.7099609375,0.6533203125,0.06256103515625,0.5439453125,0.33251953125,0.000108420848846436,0.394287109375,0.0814208984375,0.09552001953125,0.34375,0.03662109375
"HTP0462A",0.101806640625,1.8466796875,0.026763916015625,0.6259765625,3.09944152832031e-06,0.1927490234375,2.14576721191406e-05,0.10833740234375,0.29541015625,1.78813934326172e-07,3.57627868652344e-07,0.4150390625,0.122802734375,3.57627868652344e-07,9.5367431640625e-07,3.57627868652344e-07,7.98702239990234e-05,2.5629997253418e-06,0.083251953125,0.486083984375,2.62856483459473e-05,0.2335205078125,0.248046875,0.000109374523162842,0.21240234375
"HTP0373A",0.85693359375,0.438232421875,0.0199127197265625,0.348876953125,0.2186279296875,0.3779296875,0.52978515625,0.2215576171875,0.2364501953125,0.2354736328125,0.06304931640625,0.32763671875,0.172607421875,0.09564208984375,0.02001953125,0.0225372314453125,0.13623046875,0.253173828125,0.0858154296875,0.0882568359375,0.199951171875,0.1636962890625,0.3701171875,0.1712646484375,0.27490234375
"HTP0296A",0.64404296875,0.357666015625,0.3408203125,0.170166015625,0.1649169921875,0.1368408203125,0.034088134765625,0.2529296875,0.300537109375,0.64794921875,0.2017822265625,0.186767578125,0.2666015625,0.15234375,0.244873046875,0.2841796875,0.427734375,0.1856689453125,0.000277280807495117,0.017852783203125,0.302490234375,0.06903076171875,0.1829833984375,0.179931640625,0.3486328125
"HTP0300A",0.70458984375,0.57861328125,0.161865234375,0.17822265625,0.010009765625,0.433837890625,0.2119140625,0.1689453125,0.5244140625,0.06561279296875,0.0714111328125,0.334228515625,0.28466796875,0.0241851806640625,0.4013671875,0.08660888671875,0.000251293182373047,0.12841796875,0.22802734375,0.2139892578125,0.0196533203125,0.10211181640625,0.280517578125,0.00115299224853516,0.021759033203125
"HTP0397A",0.345703125,1.3486328125,0.6484375,0.067138671875,0.0016632080078125,2.58088111877441e-05,0.0323486328125,0.2408447265625,0.3349609375,0.01678466796875,0.10906982421875,0.78173828125,0.00121116638183594,0.033782958984375,0.1729736328125,0.1964111328125,0.04876708984375,0.000961780548095703,0.1788330078125,0.326904296875,0.053314208984375,0.16357421875,0.1988525390625,0.000154614448547363,0.224609375
"HTP0118B",0.7548828125,8.21948051452637e-05,0.08837890625,0.44287109375,0.29443359375,0.284423828125,0.00569915771484375,0.1243896484375,0.1170654296875,0.54931640625,0.5283203125,0.09613037109375,0.08404541015625,0.53076171875,0.07464599609375,0.310791015625,0.5068359375,0.3271484375,0.1461181640625,0.1265869140625,0.2412109375,0.10040283203125,0.09246826171875,0.43115234375,0.058319091796875
"HTP0451A",0.6904296875,1.4140625,0.00471878051757812,0.5263671875,0.0088653564453125,0.0061492919921875,0.2861328125,0.00774765014648438,0.55126953125,2.02655792236328e-06,2.92062759399414e-06,1.01953125,7.74860382080078e-07,1.2516975402832e-06,5.36441802978516e-07,1.07288360595703e-06,0.00390625,1.01327896118164e-06,4.48822975158691e-05,0.11419677734375,0.000541210174560547,0.0262603759765625,0.464111328125,1.06692314147949e-05,0.407958984375
"HTP0295A",0.5537109375,0.2783203125,0.350341796875,0.1903076171875,0.337158203125,0.08831787109375,0.098388671875,0.310791015625,0.2208251953125,0.71630859375,0.245849609375,0.2183837890625,0.1114501953125,0.212890625,0.2373046875,0.37109375,0.25,0.1954345703125,0.050384521484375,0.0117340087890625,0.373779296875,0.1336669921875,0.2587890625,0.139404296875,0.305908203125
"HTP0512A",0.234619140625,0.822265625,0.460205078125,0.000305891036987305,0.47119140625,0.039031982421875,0.207763671875,0.2421875,0.000223040580749512,0.000136971473693848,0.0202178955078125,0.44580078125,0.0179901123046875,0.1019287109375,0.2939453125,0.0190277099609375,0.00919342041015625,0.173828125,0.5283203125,0.666015625,0.34228515625,0.59716796875,0.30908203125,0.2130126953125,0.25927734375
"HTP0298A",1.0830078125,0.0150146484375,0.1561279296875,0.07275390625,0.125,0.315673828125,0.410888671875,0.00027155876159668,0.07769775390625,0.74853515625,0.303955078125,0.000136971473693848,0.239990234375,0.366943359375,0.08050537109375,0.230712890625,0.33447265625,0.3427734375,0.1434326171875,0.03729248046875,0.3935546875,0.130615234375,0.2076416015625,0.334716796875,0.37744140625
"HTP0337A",0.4189453125,0.18310546875,0.290283203125,0.09423828125,0.0072174072265625,0.34716796875,0.173828125,0.1689453125,0.1671142578125,0.6708984375,0.364990234375,0.00110340118408203,0.43505859375,0,0.42724609375,0.6572265625,0.080810546875,0.46923828125,0.31201171875,0.033172607421875,0.2344970703125,0.1187744140625,0.1309814453125,0.1348876953125,0.115966796875
"HTP0151A",0.2440185546875,0.488037109375,0.78759765625,0.00143146514892578,0.035369873046875,0.2235107421875,0.0115966796875,0.2626953125,0.2083740234375,0.38916015625,0.28564453125,0.06915283203125,0.3212890625,0.15625,0.63134765625,0.378662109375,0.0367431640625,0.214111328125,0.2086181640625,0.140380859375,0.263671875,0.188720703125,0.10400390625,0.044342041015625,0.1365966796875
"HTP0370A",0.6025390625,0.908203125,0.308837890625,0.08685302734375,0.039794921875,0.117919921875,0.57568359375,0.1407470703125,0.43603515625,0.2034912109375,0.133544921875,0.5615234375,0.00818634033203125,0.06719970703125,0.29736328125,0.1644287109375,0.00637054443359375,0.0894775390625,0.09735107421875,0.027557373046875,0.0631103515625,0.019500732421875,0.1925048828125,0.011383056640625,0.1448974609375
"HTP0205B",0.88134765625,0.000487804412841797,0.0029144287109375,0.42041015625,0.2354736328125,0.408935546875,0.09576416015625,0.0122299194335938,0.13623046875,0.4169921875,0.32861328125,0.1875,0.000396490097045898,0.56884765625,0.164794921875,0.09130859375,0.284423828125,0.34375,0.26025390625,0.1285400390625,0.37890625,0.1558837890625,0.1947021484375,0.423583984375,0.11871337890625
"HTP0392A",0.68359375,0.07049560546875,0.30224609375,3.11136245727539e-05,0.277099609375,0.2587890625,0.0823974609375,0.06329345703125,0.05364990234375,0.82470703125,0.55810546875,7.15255737304688e-07,0.342529296875,0.377685546875,0.385498046875,0.328125,0.47509765625,0.281982421875,0.132080078125,0.10064697265625,0.26806640625,0.049652099609375,9.00626182556152e-05,0.072509765625,0.19921875
"HTP0331A",0.55126953125,0.54296875,0.51513671875,0.00114822387695312,0.2210693359375,0.2216796875,0.17626953125,0.1485595703125,0.113037109375,0.496826171875,0.1416015625,0.1417236328125,0.11798095703125,0.222900390625,0.335693359375,0.2451171875,0.0254364013671875,0.1826171875,0.254638671875,0.15869140625,0.4287109375,0.26953125,0.203369140625,0.1192626953125,0.3701171875
"HTP0330A",0.9150390625,0.58740234375,0.20654296875,0.1658935546875,0.08123779296875,0.1087646484375,0.166015625,0.09625244140625,0.18603515625,0.28759765625,0.0888671875,0.227783203125,0.1888427734375,0.1307373046875,0.198974609375,0.160400390625,0.26513671875,0.281982421875,0.0164794921875,0.1802978515625,0.3193359375,0.217041015625,0.242431640625,0.21923828125,0.396240234375
"HTP0241A2",0.58544921875,0.253662109375,0.6796875,0.00775527954101562,0.0101776123046875,0.009185791015625,0.00703811645507812,0.311767578125,0.00395584106445312,0.5703125,0.43896484375,1.25765800476074e-05,0.392822265625,0.2030029296875,0.50634765625,0.5615234375,0.235107421875,0.30126953125,0.1676025390625,0.1160888671875,0.11798095703125,0.1390380859375,0.016387939453125,0.049560546875,0.1011962890625
"HTP0336A",1.01171875,0.68798828125,0.00240898132324219,0.252685546875,0.0086212158203125,0.291748046875,0.1185302734375,0.000563144683837891,0.40185546875,0.21875,0.03033447265625,0.409423828125,0.1531982421875,0.093017578125,0.14013671875,0.035400390625,0.1546630859375,0.1700439453125,0.1644287109375,0.278564453125,0.12091064453125,0.12066650390625,0.36328125,0.1708984375,0.2459716796875
"HTP0339A",1.224609375,0.876953125,0.0357666015625,0.0280609130859375,0.12451171875,0.04022216796875,0.1829833984375,0.00101566314697266,0.384765625,0.393798828125,0.204345703125,0.468017578125,0.000207424163818359,0.0885009765625,0.139404296875,1.96099281311035e-05,0.362548828125,0.0039215087890625,0.04302978515625,0.1865234375,0.000298500061035156,3.87430191040039e-06,0.1669921875,0.00174236297607422,0.095458984375
"HTP0321A",8.55922698974609e-05,0.1683349609375,0.1376953125,0.00303840637207031,0.171142578125,0.9541015625,0.00144290924072266,0.2025146484375,0.77099609375,0.484130859375,0.0692138671875,0.0130157470703125,1.1396484375,0.1187744140625,0.129150390625,0.20654296875,0.11907958984375,0.0130386352539062,0.00823211669921875,0.048828125,0.27685546875,0.317138671875,0.01531982421875,6.31213188171387e-05,0.346435546875
"HTP0293A",0.427734375,6.55651092529297e-07,0.51953125,4.76837158203125e-07,0.11810302734375,0.0168609619140625,0.13232421875,0.160400390625,4.76837158203125e-07,1.021484375,0.6630859375,1.78813934326172e-07,0.3974609375,0.367919921875,0.62939453125,0.51806640625,0.4833984375,0.39599609375,0.08740234375,4.14252281188965e-05,0.07135009765625,0.000211238861083984,5.96046447753906e-07,0.239990234375,0.0775146484375
"HTP0249A2",0.86572265625,8.94069671630859e-07,0.0116500854492188,0.0650634765625,0.1146240234375,0.533203125,0.490478515625,0.00200462341308594,0.00032806396484375,0.5947265625,0.308837890625,7.51018524169922e-06,0.116943359375,0.51220703125,0.274658203125,0.18359375,0.1181640625,0.4052734375,0.456298828125,0.11712646484375,0.36669921875,0.2213134765625,0.2181396484375,0.458740234375,0.13037109375
"HTP0261A2",1.3720703125,0.471435546875,0.08807373046875,0.1134033203125,0.1572265625,0.248779296875,0.7099609375,0.02325439453125,0.252685546875,0.54541015625,0.0384521484375,0.17333984375,0.1466064453125,0.048095703125,0.00408172607421875,0.0026702880859375,0.2568359375,0.0113601684570312,0.0816650390625,0.09844970703125,0.1441650390625,0.088134765625,0.407470703125,0.09661865234375,0.458984375
"HTP0374A",1.140625,2.98023223876953e-07,5.36441802978516e-07,0.10052490234375,0.1510009765625,0.64599609375,1.0849609375,8.34465026855469e-07,0.000653266906738281,0.7685546875,0.2183837890625,2.50339508056641e-06,1.07288360595703e-06,0.46142578125,0.076171875,0.000888824462890625,0.09234619140625,0.2724609375,0.26318359375,5.90085983276367e-06,0.20703125,0.000577926635742188,0.3447265625,0.47998046875,0.10394287109375
"HTP0357A",1.2119140625,0.93017578125,0.031707763671875,0.0828857421875,0.00637435913085938,0.0230255126953125,0.302734375,0.000365495681762695,0.448974609375,0.2430419921875,0.19580078125,0.4638671875,0.11309814453125,0.07940673828125,0.087646484375,0.0180816650390625,0.44482421875,0.1651611328125,0.0078125,0.203125,8.43405723571777e-05,0.000208020210266113,0.1011962890625,0.00510787963867188,0.1435546875
"HTP0323A",0.578125,1.78813934326172e-07,0.30322265625,4.76837158203125e-07,0.10736083984375,0.026458740234375,0.323486328125,0.0870361328125,2.98023223876953e-07,1.044921875,0.68310546875,1.19209289550781e-07,0.0936279296875,0.513671875,0.7822265625,0.460693359375,0.422607421875,0.473388671875,0.381103515625,0.000123977661132812,0.1241455078125,0.000386953353881836,1.36494636535645e-05,0.28369140625,9.22083854675293e-05
"HTP0325A",0.541015625,0.355712890625,0.2474365234375,0.176025390625,0.272216796875,0.2509765625,0.24365234375,0.181884765625,0.07147216796875,0.4345703125,0.1705322265625,0.18505859375,0.0946044921875,0.28515625,0.31298828125,0.28076171875,0.0748291015625,0.34130859375,0.364013671875,0.111328125,0.3544921875,0.249755859375,0.353271484375,0.335693359375,0.300537109375
"HTP0247A2",0.4912109375,0.25927734375,0.454833984375,0.1217041015625,0.1312255859375,0.117919921875,0.08660888671875,0.163330078125,0.04266357421875,0.62939453125,0.346923828125,0.02630615234375,0.240234375,0.2646484375,0.21484375,0.6083984375,0.1651611328125,0.38330078125,0.29638671875,0.06689453125,0.3583984375,0.24609375,0.25537109375,0.138427734375,0.30078125
"HTP0263A2",0.171630859375,0.209716796875,0.018341064453125,0.451904296875,0.1375732421875,0.62939453125,0.26220703125,0.1246337890625,0.00751876831054688,0.325439453125,0.060028076171875,0.195556640625,0.0234832763671875,0.39404296875,0.2060546875,0.225341796875,0.01055908203125,0.444091796875,0.494140625,0.1610107421875,0.4404296875,0.37841796875,0.541015625,0.58349609375,0.320068359375
"HTP0364A",0.17626953125,0.1627197265625,0.32275390625,0.0062103271484375,0.81884765625,0.193115234375,0.1552734375,0.84375,0.00112724304199219,0.61376953125,0.1051025390625,3.88622283935547e-05,0,0.1260986328125,0.4541015625,0.37158203125,0.034088134765625,0.2080078125,0.08587646484375,0.00481033325195312,0.392822265625,0.2127685546875,0.1533203125,0.21630859375,0.262451171875
"HTP0327A",0.53955078125,0.66259765625,0.468505859375,0.0087127685546875,0.23681640625,0.08502197265625,0.4912109375,0.2205810546875,0.1058349609375,0.276123046875,0.23681640625,0.32080078125,0.0282440185546875,0.11956787109375,0.32421875,0.322021484375,0.0228424072265625,0.15576171875,0.34619140625,0.23876953125,0.10064697265625,0.1185302734375,0.251220703125,0.03985595703125,0.11602783203125
"HTP0342A",0.90966796875,0.505859375,5.12599945068359e-06,0.1868896484375,0.120849609375,0.59033203125,0.71240234375,0.000777721405029297,0.307373046875,0.2362060546875,3.54647636413574e-05,0.26611328125,0.2022705078125,0.00576400756835938,0.08551025390625,7.76052474975586e-05,0.000506877899169922,0.21630859375,0.224609375,0.057098388671875,0.248779296875,0.11474609375,0.47314453125,0.291259765625,0.27490234375
"HTP0354A",1.0478515625,0.5185546875,0.014801025390625,0.196533203125,0.00443649291992188,0.09765625,0.1871337890625,0.0572509765625,0.24169921875,0.0184173583984375,0.179443359375,0.54833984375,9.5367431640625e-07,0.231689453125,0.444580078125,0.0423583984375,0.11370849609375,0.247802734375,0.54931640625,0.4462890625,0.00197029113769531,0.0938720703125,0.3798828125,0.056365966796875,0.003692626953125
"HTP0341A",1.1923828125,0.3720703125,0.0699462890625,0.196533203125,0.078125,0.19580078125,0.20556640625,0.06524658203125,0.1766357421875,0.396484375,0.239990234375,0.12054443359375,0.168212890625,0.19677734375,0.246337890625,0.12091064453125,0.4052734375,0.26806640625,0.1890869140625,0.2357177734375,0.08905029296875,0.1328125,0.22998046875,0.0838623046875,0.12335205078125
"HTP0345A",0.26708984375,0.00127220153808594,0.1593017578125,0.1922607421875,0.031890869140625,0.280029296875,0.059478759765625,0.261474609375,6.77704811096191e-05,0.3564453125,0.08123779296875,0.000543117523193359,0.00231361389160156,0.391357421875,1.0224609375,0.318359375,0.190185546875,0.60009765625,0.410888671875,0.2188720703125,0.572265625,0.2392578125,0.313720703125,0.90625,0.054595947265625
"HTP0368A",0.8642578125,0.33935546875,0.130615234375,0.00632858276367188,0.4140625,0.277099609375,1.4677734375,0.08233642578125,0.115478515625,0.80810546875,0.1585693359375,0.09405517578125,0.10394287109375,0.10809326171875,0.0298919677734375,0.106689453125,0.3046875,0.1259765625,0.00609207153320312,4.11272048950195e-05,0.1781005859375,0.056671142578125,0.2071533203125,0.050079345703125,0.419921875
"HTP0367A",0.6494140625,0.32470703125,0.056732177734375,0.16943359375,0.259765625,0.52978515625,0.67333984375,0.129150390625,0.30859375,0.2373046875,0.028656005859375,0.2578125,0.2227783203125,0.0892333984375,0.338623046875,0.051605224609375,0.000195860862731934,0.267578125,0.2841796875,0.037200927734375,0.244384765625,0.2474365234375,0.409912109375,0.142333984375,0.1395263671875
"HTP0251A2",0.79736328125,0.6884765625,0.5986328125,0.033660888671875,0.055999755859375,0.000598907470703125,0.447509765625,0.247314453125,0.199951171875,0.56396484375,0.181396484375,0.10186767578125,0.20849609375,0.04876708984375,0.177978515625,0.340576171875,0.28515625,0.034881591796875,0.00196266174316406,0.039154052734375,0.141357421875,0.1217041015625,0.1444091796875,0.00378036499023438,0.397216796875
"HTP0262A2",0.76904296875,0.37109375,0.355224609375,0.099853515625,0.279541015625,0.11669921875,0.1480712890625,0.2242431640625,0.02435302734375,0.5458984375,0.18359375,0.154541015625,0.09912109375,0.261474609375,0.1326904296875,0.294677734375,0.08099365234375,0.2012939453125,0.259765625,0.1744384765625,0.440673828125,0.338623046875,0.331787109375,0.1888427734375,0.4189453125
"HTP0219A2",1.015625,5.96046447753906e-07,0.000886440277099609,0.0430908203125,0.05810546875,0.4130859375,0.5048828125,0.00285720825195312,0.0050048828125,0.681640625,0.335693359375,4.35113906860352e-06,0.260009765625,0.484130859375,0.319580078125,0.193359375,0.263916015625,0.47119140625,0.274658203125,0.01019287109375,0.2183837890625,0.03265380859375,0.188720703125,0.5703125,0.062103271484375
"HTP0236A2",0.94482421875,0.443115234375,0.380859375,0.10723876953125,0.144287109375,0.00182914733886719,0.15478515625,0.1361083984375,0.036834716796875,0.481689453125,0.2340087890625,0.00971221923828125,0.401123046875,0.1746826171875,0.1688232421875,0.3017578125,0.54931640625,0.19970703125,0.015106201171875,0.2156982421875,0.166259765625,0.20849609375,0.0980224609375,0.2130126953125,0.34130859375
"HTP0404A",5.96046447753906e-07,2.38418579101562e-07,2.98023223876953e-06,3.57627868652344e-07,1.9677734375,0.2073974609375,0.0253143310546875,0.8720703125,2.98023223876953e-07,0.71728515625,0.162353515625,1.78813934326172e-07,2.44379043579102e-06,0.2249755859375,0.208251953125,0.179931640625,0.00124931335449219,0.1673583984375,0.0888671875,3.57627868652344e-07,0.4453125,0.013336181640625,7.15255737304688e-07,0.153076171875,2.39014625549316e-05
"HTP0418A",0.70263671875,0.54052734375,0.048126220703125,0.716796875,1.07884407043457e-05,0.045501708984375,0.035247802734375,0.0189361572265625,0.7060546875,1.4960765838623e-05,0.0997314453125,1.326171875,0.00432586669921875,0.050689697265625,0.0142135620117188,0.1356201171875,0.198974609375,0.26220703125,0.00020909309387207,0.291259765625,0.0960693359375,0.142822265625,0.347412109375,0.04876708984375,0.0229339599609375
"HTP0406A",1.1748046875,0,0.3466796875,0.02191162109375,0.219482421875,0.2137451171875,0.62890625,0.00143909454345703,0.1917724609375,0.77978515625,0.2440185546875,0.197265625,0.1357421875,0.284912109375,0.0458984375,0.1279296875,0.483642578125,0.1292724609375,0.078369140625,0.12347412109375,0.256591796875,0.07708740234375,0.2322998046875,0.2320556640625,0.4853515625
"HTP0381A",1.30078125,0.27978515625,0.1824951171875,0.136474609375,0.04010009765625,0.26416015625,0.489990234375,7.2181224822998e-05,0.0982666015625,0.30517578125,0.240966796875,0.07427978515625,0.140869140625,0.28857421875,0.10906982421875,0.065185546875,0.214111328125,0.239013671875,0.3154296875,0.313720703125,0.112060546875,0.1339111328125,0.2188720703125,0.1962890625,0.241455078125
"HTP0407A",0.7587890625,0.29541015625,0.4365234375,0.1383056640625,0.06585693359375,0.03668212890625,0.36328125,0.2115478515625,0.111328125,0.501953125,0.4755859375,0.00882720947265625,0.2138671875,0.24267578125,0.333984375,0.485107421875,0.457763671875,0.383056640625,0.07049560546875,0.12890625,0.00890350341796875,0.0054779052734375,0.03570556640625,0.1358642578125,0.0745849609375
"HTP0393A",0.9658203125,0.00572967529296875,0.1900634765625,0.024993896484375,0.1024169921875,0.1614990234375,0.1943359375,0.20166015625,4.48226928710938e-05,0.60595703125,0.423095703125,8.94069671630859e-07,0.166015625,0.418701171875,0.50048828125,0.2103271484375,0.330078125,0.396484375,0.305908203125,0.131103515625,0.10565185546875,0.1234130859375,0.1153564453125,0.324951171875,0.1160888671875
"HTP0400A",0.84521484375,0.366455078125,0.00528335571289062,0.470458984375,0.1280517578125,0.34521484375,0.23681640625,0.00667953491210938,0.7080078125,0.2880859375,0.02642822265625,0.87158203125,0.0240478515625,0.183837890625,1.39474868774414e-05,0.0201416015625,0.0202789306640625,0.1815185546875,1.13248825073242e-06,0.0002593994140625,0.576171875,0.1824951171875,0.294677734375,0.12127685546875,0.430908203125
"HTP0385A",0.63232421875,1.4185905456543e-05,0.0159454345703125,0.0126113891601562,0.228759765625,0.4765625,0.05780029296875,0.0504150390625,0.00862884521484375,0.73876953125,0.34912109375,1.13248825073242e-06,0.324951171875,0.447998046875,0.37548828125,0.29296875,0.1883544921875,0.439697265625,0.49658203125,0.10577392578125,0.43505859375,0.263671875,0.189697265625,0.388427734375,0.09228515625
"HTP0387A",0.7392578125,0.7109375,0.350830078125,0.21533203125,0.1129150390625,0.0767822265625,0.1185302734375,0.094482421875,0.13720703125,0.11767578125,0.06842041015625,0.62548828125,7.17639923095703e-05,0.1673583984375,0.26220703125,0.1336669921875,0.054534912109375,0.144775390625,0.312744140625,0.346923828125,0.393798828125,0.327880859375,0.4423828125,0.0927734375,0.290283203125
