"","Basal","none","LumA_Normal","Her2","LumB"
"TSPAN6",0.00161887661040203,0.00159783064150921,0.00166357596357317,0.00168202728917143,0.00172236933463213
"TNMD",0.00021822124876066,0.000206267546644793,0.000220365590411731,0.000216326738003491,0.000227852053551706
"DPM1",0.00285015080852671,0.00282069477371031,0.00291294955082346,0.00301191085137727,0.00308039519409764
"CFH",0.00193791979785495,0.00195754657083998,0.0020371024146439,0.00206424299682119,0.00208186046814305
"FUCA2",0.00367269258343422,0.00365170855939329,0.00376626257294272,0.00389791213688633,0.00397333328367861
"NFYA",0.00225721233899834,0.00220071274249785,0.00228862454246539,0.0023342426801041,0.0024113675183632
"ENPP4",0.00127986908743989,0.00132273063003681,0.00137048614756034,0.00138963426678696,0.0013858965595624
"SEMA3F",0.00714891329786091,0.0075533736088348,0.00775698687862252,0.00795466629133964,0.00782922981978813
"LAP3",0.00494428677643876,0.00490825827588702,0.00509464707220252,0.00520242349592961,0.0053156341611656
"CD99",0.00615542826181807,0.00616867095571924,0.00637925397546257,0.00653172931454872,0.006610921374782
"LASP1",0.00177712338177137,0.00183268946634677,0.00186699418525272,0.00195964132202679,0.00194716172269844
"TMEM176A",0.0030606115003645,0.00304362040019686,0.00316799664147039,0.00321154457230675,0.00327968597116599
"M6PR",0.0112624408552186,0.0112438464951767,0.0116463951457349,0.011912358071462,0.0121255243955807
"DBNDD1",0.00467652085338389,0.00456615160657663,0.00471510812178303,0.00488388405399061,0.00503033031605644
"SLC7A2",0.00356053650039825,0.00388721140389962,0.00398062973407526,0.00406620577969535,0.00393090080621708
"ARF5",0.0169212185746475,0.0168005072557712,0.0174160561580727,0.0177734902649114,0.0181382487934484
"POLDIP2",0.0127511016253266,0.0128482928030268,0.0131931146649637,0.0137241710255623,0.0138622588865894
"PLXND1",0.00298410469761186,0.00302676399939437,0.00312863529438196,0.00320942007137522,0.00323225213380644
"FKBP4",0.00637353913652038,0.00654836970242388,0.00673352541492483,0.00694689595232596,0.00695985274004501
"KDM1A",0.00630137827215304,0.00612952758161909,0.00637230016731781,0.00650105017545401,0.00672424691320518
"HSPB6",0.00222453500465751,0.00229680648834123,0.00240713447337588,0.00238022578323665,0.00236934486145962
"NDUFAB1",0.013639884321573,0.0137128498508493,0.0141463340768297,0.0145591034691946,0.014753850822101
"PDK4",0.00212876491882311,0.00222349993373362,0.00232850702770583,0.00230622238868829,0.00228187788889805
"HCCS",0.00121179312367141,0.00119609543396738,0.00123717556405628,0.00127545931300069,0.00130647451566692
"SLC25A5",0.00477103154319883,0.00466476093519306,0.00482248857653384,0.00498434600115091,0.00512757519354905
"POLR2J",0.00607130669930736,0.00604511396004596,0.00626020088101405,0.00640186563138707,0.00652381081578256
"COPZ2",0.00264525492183242,0.00270658152347061,0.00280382332966853,0.00284241906623668,0.00284511120042768
"PRKAR2B",0.00345245515466916,0.00357458119196547,0.00368225667959959,0.00376338733805418,0.0037467863397626
"RHBDD2",0.0116852491331834,0.0119527192055386,0.0123306920545819,0.0126093621500846,0.0126359079782635
"ITGA3",0.00220094988631094,0.00226178730814219,0.0023328896971581,0.00239183262939728,0.00238161407495318
"LAMP2",0.013846808631946,0.0136503568049831,0.0141520180387283,0.014496791791605,0.014856809853925
"GDE1",0.0121230852666953,0.0125733269798427,0.0129097140532846,0.0132824190774823,0.0131919554286165
"CRLF1",0.00124278167975242,0.00105923267943981,0.00112873080939046,0.00113086093401541,0.00127006148084488
"TMEM98",0.00408891648087723,0.00414820196288477,0.0043154434380239,0.0043485443160551,0.00438476204827728
"TMEM132A",0.00618507519509333,0.00598986618540935,0.00617013754826011,0.00643609344206702,0.00664307936018605
"AP2B1",0.00567071621756794,0.00588635031587442,0.00604758038075397,0.00623132190775895,0.00619831962345771
"CX3CL1",0.00154406075432154,0.00142445206401516,0.00152217936560384,0.00150691249097571,0.00160375631984132
"SPATA20",0.00277245731204635,0.00290463092259487,0.00297098708228412,0.00308203260469011,0.00304087091436485
"TNFRSF12A",0.00448755361571799,0.00438893775425967,0.00457061007386611,0.00464090986030987,0.00477275124713446
"RALA",0.0172438424887065,0.0172050091215225,0.0177666701735711,0.0182954216681851,0.0185897841356959
"GGCT",0.00926317064936523,0.00917992387251406,0.00940083994171435,0.00987376627141667,0.0100399217384418
"PAF1",0.011547726980084,0.0116785093597014,0.0120650841485443,0.0123403620555212,0.0124524966847166
"ARSD",0.00268856885991486,0.00280116882244774,0.00287985678554136,0.00294850660755312,0.00292059689911338
"ADIPOR2",0.0031833720520399,0.00331160979720417,0.00340766127280565,0.00349823447342666,0.00348234548651575
"PROM1",0.00197653981927241,0.00168318728987283,0.00179892523421985,0.00180025419985299,0.00202266209204626
"CCDC124",0.0085118560091816,0.0083739529574445,0.00870195527718976,0.00886933424843207,0.00910449330592365
"BLTP2",0.00580350233593306,0.00591932441759446,0.0060779257449027,0.00630068093902707,0.00632178643187601
"TRAPPC6A",0.00443935312136981,0.00455470978393242,0.00469786194687895,0.00480050037201256,0.00480130720840195
"TSR3",0.0182859090031456,0.0185366319045554,0.0191802647238761,0.019538403146475,0.0196978355205922
"TEAD3",0.0106902082598536,0.0105281873022587,0.010938791913842,0.0111567042029657,0.0114340329268656
"FMO3",0.000729642988232532,0.000668112369149285,0.000692042354563982,0.000721149588369016,0.000768212485936614
"MYLIP",0.00905273674224695,0.00943287861598201,0.00970272150648225,0.00995460592029785,0.00986175907652223
"PSMB1",0.00756751614631209,0.0075077767282432,0.00776196673424949,0.00798022797972146,0.00814773714748223
"TFAP2B",0.00235765603228522,0.00248377332249747,0.00252531548236857,0.00263262819248266,0.00257026467359555
"SYPL1",0.0166724308696002,0.0169765804128684,0.0175396327826432,0.0179146390015785,0.0180114118856175
"CYB561",0.00645877345171578,0.00660827853386214,0.006740767136939,0.00708412228906233,0.00708005484527733
"MGST1",0.00331138797641244,0.00326940666609958,0.00337078673640598,0.00348728676074315,0.00356179292797468
"NFIX",0.00279150976436708,0.00269783228452669,0.00283360472571668,0.00282828124673543,0.00294145763036093
"ST3GAL1",0.00330842874109898,0.00337171277297085,0.0034718791607003,0.00359227715949731,0.00361753118657499
"IL32",0.00308605100077504,0.00285965702514234,0.00300673887668754,0.00303084471006488,0.0032302940665851
"MAPK8IP2",0.00355837854064179,0.00365353954764663,0.00375151185854251,0.00387855120968916,0.00388128777393269
"MED24",0.00201960095804156,0.00202689327227596,0.00205851651953486,0.00219251156440863,0.0022061891994049
"SEC62",0.0077193330448135,0.00795735845655635,0.00818881428673755,0.00841220483509061,0.00839251472059617
"RPS20",0.00644927712883631,0.00628260873276135,0.00654751816995016,0.00665804222598587,0.00688097716617991
"CSDE1",0.0187792720494509,0.0185918123872328,0.0192982746890753,0.0196869912980059,0.0201263904605517
"BAZ1B",0.0122421285919614,0.0121308908612701,0.0125440931873674,0.0128947562574462,0.0131872482168411
"RANBP9",0.0115411488209679,0.0115666380784643,0.0118881731578522,0.0123556984705486,0.0125275646582602
"METTL13",0.0184851546952398,0.0184526082923932,0.0190890543558418,0.0195366012822712,0.0198880211755334
"UQCRC1",0.0243071934258622,0.0242970769868287,0.025122239876119,0.0257609101869776,0.026174518474844
"CD9",0.00407145149901527,0.00411582320340978,0.0042437320469409,0.00436067661606691,0.00439967157359565
"NCAPD2",0.00198876279749175,0.00184820346294118,0.00193040728883341,0.00197662349665773,0.0021040944745206
"SEMA3G",0.00504449637199749,0.00530142002536007,0.00551589246366775,0.00550233936898386,0.00542455235771689
"CD4",0.00585391672930725,0.00577176582329748,0.00601518998252572,0.00611031686622511,0.00626012532105638
"LYPLA2",0.0119126709700251,0.0118518294964264,0.0122661903602627,0.0125499652552423,0.012775373070907
"MRC2",0.00134276353016339,0.00133461230784333,0.00139065013058073,0.00140406896092359,0.00143147695531122
"TSPAN9",0.0139551578436456,0.0143368554573158,0.0147921338307647,0.0151017917992646,0.0150705474324562
"UTP18",0.00251800678342492,0.00252097127381764,0.0025867194627155,0.00270505424128037,0.00274329317062153
"PTBP1",0.0230157158955658,0.0230753930155154,0.0238766686739418,0.0244374712254903,0.0248061551551877
"SYT7",0.00372069515582879,0.00385433283463062,0.00397136780434005,0.00405636654430659,0.00404064537570881
"PLAUR",0.00385583828027837,0.00366805996390336,0.00383265163884112,0.00389694500627293,0.00408194281399673
"ANLN",0.00516252059934677,0.00469019095809623,0.00488023137125317,0.0050832049586156,0.00547806627609541
"DCN",0.0103906422126952,0.0108321972640256,0.0112335416155176,0.0113392879882651,0.0112195937976987
"TYROBP",0.00349712383020241,0.00347418918490331,0.00361788073828942,0.00367047682615264,0.00374241616303977
"LDAF1",0.0059704167266132,0.0059569313952553,0.00615578443593638,0.00631678804767489,0.00641630843051279
"SEMA3B",0.00155074950307773,0.00166971108879236,0.0017168404023075,0.00173720920960487,0.00169159968148325
"LTF",0.000934095459965562,0.000931293164933275,0.000973779833280518,0.000978514682178617,0.000992778701433459
"ELOVL5",0.00376761572456265,0.00402482172807797,0.00413131249693632,0.00421437925245151,0.00411582477674925
"UBR7",0.00955729421420238,0.00985993702151073,0.0101305497791374,0.0104521221264921,0.0104274220297054
"PSMC4",0.00613966180693792,0.00606028944496947,0.00626393298842997,0.00644935129051773,0.00660412126536272
"SLC25A39",0.0124998735890255,0.0124778037023832,0.0129165194974247,0.0132345076669638,0.0134845643192828
"MVP",0.00996315457866534,0.0103073689579913,0.0106385526949239,0.0108267067088184,0.0107698410394607
"CLK1",0.0087864074219912,0.00907428050262709,0.00940430893963467,0.00951078323387077,0.00948292670005758
"HEBP1",0.00344087047881523,0.00360115431363185,0.00370411796984154,0.00381430596827847,0.00378638089399832
"GPRC5A",0.00851325725734127,0.00890634863473598,0.00910558177311662,0.00947451232154236,0.00937394315617511
"CAPN1",0.00569772821017934,0.00568679111685165,0.00589181216587234,0.00601844575197896,0.00612277371127699
"MDH1",0.0236716806285767,0.0230642772412534,0.0239089886124191,0.02455684783279,0.0253525137434469
"ZMYND11",0.00732048222867469,0.00743392227783143,0.00769085139687867,0.00784058031102476,0.00790262768592212
"ATP2C1",0.00654556805445448,0.00641046141619276,0.00664064498607188,0.00681919854226961,0.00701755844789512
"WWTR1",0.00470199308023145,0.00445046493273157,0.00468699177956183,0.00468882907297958,0.00493332927945881
