"","LumA_1","Normal","Basal","LumB","LumA_2"
"TSPAN6",0.00077021521686592,0.0012632234216884,0.000851366273655666,0.00116741338402582,0.00128043008997366
"TNMD",0.000116268826324581,0.000449270935289167,0.000112953838238004,0.000205236430722174,0.000299790124830989
"DPM1",0.00132587531742359,0.00157101571608845,0.00153265534478246,0.00202225200415675,0.00201355757339046
"CFH",0.000943189576579429,0.00190266133960185,0.000945030153582823,0.00148726900825032,0.00190715550371495
"FUCA2",0.00175133327265984,0.00208202705010851,0.00201264969749991,0.0025137257903343,0.00262869551840723
"NFYA",0.0010211608085931,0.00128315741420036,0.0012235105330439,0.00167674769507876,0.0015805643847278
"ENPP4",0.000685607010325022,0.000820060279829896,0.000563305505051126,0.000973021124499335,0.00107310840453261
"SEMA3F",0.00421433264075699,0.00356372471383623,0.00335189582389585,0.00470873938948921,0.00545636550030781
"LAP3",0.00229608632996,0.00288483821978164,0.00258186935064175,0.00343541547770374,0.00357349781931226
"CD99",0.00297791532781466,0.00409615297599896,0.00329273838375818,0.0039584133389522,0.00470709332629542
"LASP1",0.000968446607838085,0.000961856674666802,0.000867389967010393,0.00130091414029741,0.00143043937578876
"TMEM176A",0.00143210579075747,0.00192105987413916,0.00163667714968867,0.00202061048118904,0.00220815275683109
"M6PR",0.00553595841672969,0.00705693027293338,0.00587742316171124,0.00862533024032531,0.00887051713148645
"DBNDD1",0.00215758539808932,0.00217340152240444,0.00270240455478334,0.00308135764377808,0.0029217468901187
"SLC7A2",0.00229027473307165,0.00179712450680296,0.00148098892951861,0.00273435880695554,0.00317627018208137
"ARF5",0.00863787000778966,0.00979436055795863,0.00967165099222959,0.0107973190186607,0.0116124829766978
"POLDIP2",0.00697986804786388,0.00749846031910991,0.0072850021985606,0.00940466491807296,0.00995701730444332
"PLXND1",0.00149854575211754,0.00189949387006255,0.00150002276984458,0.00201805408668851,0.00231068373304902
"FKBP4",0.00342964942457145,0.00289560314563866,0.00325178911666843,0.00443588788656348,0.00456341449159241
"KDM1A",0.00282686626955697,0.00364099615664327,0.00346917538080306,0.00444334915209384,0.00426802418588161
"HSPB6",0.000298883103371999,0.00115342160928581,0.000263504454091108,0.000470279871846537,0.000774037405901621
"NDUFAB1",0.0071338033330644,0.00731462473541341,0.00760827267082653,0.00916049374557994,0.00965447607188155
"PDK4",0.000380597525657675,0.00134210133186731,0.000294481259380586,0.000597781350691838,0.000961168777879652
"HCCS",0.000562797796976788,0.000688126982017624,0.00066717952730839,0.000865165021584781,0.000869142491725131
"SLC25A5",0.00216532967262513,0.00266649628371702,0.00269036203765195,0.00327986721545927,0.0032573938402078
"POLR2J",0.00303462647284147,0.00334127874077707,0.00340484856904853,0.00353584639537978,0.00389145324821596
"COPZ2",0.00137041522982797,0.00214376985281955,0.00132920281241188,0.00170521384044074,0.00226367477834353
"PRKAR2B",0.000926559167337676,0.0020053047260985,0.000763282167103025,0.00138009910781713,0.00180817295341244
"RHBDD2",0.00642526188647946,0.00654690519662514,0.00607648372286766,0.00761843722230391,0.00862099319356859
"ITGA3",0.00120572714744899,0.00159232910124207,0.0010779926323034,0.0015603806442022,0.00189820676066456
"LAMP2",0.00666997897045838,0.00889105561405055,0.00749717527872429,0.0109148001895832,0.0109754659048542
"GDE1",0.00686812729808243,0.00722367908245397,0.00597102898223703,0.00916321611508282,0.0102788265614912
"CRLF1",0.000400473615735454,0.000830749513388029,0.000930424913143871,0.00085422837877497,0.00061059790109434
"TMEM98",0.00211742430142892,0.00300491034090566,0.00204902476214762,0.00287229597714362,0.00328868053554816
"TMEM132A",0.00290728177127972,0.00300246720789586,0.00373151240602644,0.00400272122615522,0.00386578545495152
"AP2B1",0.00305973035009925,0.00313328597991814,0.00266212792890304,0.00421437993864482,0.00457000159273283
"CX3CL1",0.000729357419165873,0.00249356907384413,0.00099983566518184,0.0013364954054298,0.0016726999162754
"SPATA20",0.00159803852667301,0.00151355882496,0.00134100904740421,0.00183923599591668,0.00217557003654176
"TNFRSF12A",0.0020946066127473,0.0026043834431937,0.00257304723009507,0.00270694961313923,0.00296413524981469
"RALA",0.0084408245273061,0.0106262535799192,0.00925135543395319,0.012844426763613,0.0134952674107705
"GGCT",0.00471038178785991,0.00481240276084579,0.0055354415426659,0.0064345774566368,0.00661085882266444
"PAF1",0.00664319705338423,0.00744654097231535,0.00670599016740701,0.00818942675258898,0.00908503709914075
"ARSD",0.00150741715402594,0.00163779587579179,0.00128975828131881,0.0019493732254779,0.00224476832525174
"ADIPOR2",0.00176993877636776,0.0017878670267537,0.00156750821070058,0.00240813831936275,0.00261227640942586
"PROM1",0.000558755300853283,0.00160299013721118,0.00131324354295148,0.0015206779813979,0.0011302125148228
"CCDC124",0.00425795402354213,0.00494998625255457,0.00508121435551839,0.00494771286018865,0.00539693003397102
"BLTP2",0.00305666591651392,0.00354083961647185,0.00286324703005741,0.00451008763515618,0.00477654129323957
"TRAPPC6A",0.00255895982910696,0.00252929703743055,0.00245835111378075,0.00266289162635624,0.0031245961843361
"TSR3",0.0108918355756088,0.011475468304483,0.0110883957551711,0.0120643730954768,0.0137527129401262
"TEAD3",0.00536548405684347,0.00722880582136557,0.006084804592405,0.00754826789412283,0.00804002014126634
"FMO3",0.000278510718680019,0.000461948090095609,0.000494697788722052,0.00050855603565234,0.000461011877539565
"MYLIP",0.00519290952230817,0.00639506875549713,0.00442210145001161,0.00701480889055825,0.00817265443358514
"PSMB1",0.00364674264535111,0.00442389931598862,0.00420915597986157,0.00503052289030275,0.00532883247778857
"TFAP2B",0.00130583368665131,0.00136053270884262,0.00105453177270524,0.00155803885254993,0.00192046288511224
"SYPL1",0.00893264538699441,0.0113604056085138,0.00839617009467318,0.0128191913442597,0.0141980820579444
"CYB561",0.0036184441455954,0.00322715425931237,0.00356257028029437,0.00475417273939815,0.00504223148862592
"MGST1",0.0015990100580721,0.00267237712293995,0.0018064634615323,0.00246179863720573,0.00275204375876356
"NFIX",0.00129392670362369,0.0022529116612818,0.00149680638003924,0.00206456832033802,0.00212342166234934
"ST3GAL1",0.00165000384860992,0.00162874553793881,0.00157952293336757,0.00240261558993497,0.00248245508809208
"IL32",0.00112987585138911,0.001816316843321,0.00193059104648997,0.00191266019298766,0.00177739365173247
"MAPK8IP2",0.00195440552824889,0.00150710456709773,0.00179746912530233,0.00233958840690872,0.00242158355823314
"MED24",0.00103260077054793,0.00105735402789705,0.00109476670423027,0.00141538201577826,0.00148228922490816
"SEC62",0.00411286488011536,0.00513946372577457,0.00370624621504269,0.00591311028544593,0.00668518065053424
"RPS20",0.00303477561664191,0.00462128721118563,0.00379883164210548,0.00414797217800924,0.004583070444441
"CSDE1",0.00478539187666183,0.00763948949996737,0.00516236880047746,0.00772570475008623,0.00825543010797879
"BAZ1B",0.00611453577173775,0.00742158119490646,0.00665986124060876,0.00974712678853725,0.00961309628194316
"RANBP9",0.00583408549600549,0.00650035490709392,0.00613008774784789,0.00908901256185966,0.00904792276343577
"METTL13",0.00981122279523682,0.0110465918413917,0.0105217596742205,0.0137623493298083,0.0140048542712144
"UQCRC1",0.0133886104498484,0.0153499304262278,0.0143554434126573,0.0168902602259371,0.0184838539305551
"CD9",0.0020239055782731,0.00215578031738125,0.00206924315598653,0.0027212943207696,0.00290574653521062
"NCAPD2",0.000761265666359588,0.0010674432715676,0.00120596911070422,0.00143392590243768,0.0011672710870428
"SEMA3G",0.00110353631176434,0.00288441018007582,0.000876004527439846,0.00150673578612517,0.00228542067554822
"CD4",0.00259372434816239,0.00382731181335916,0.00308720033510782,0.00393780941482765,0.00438617223052217
"LYPLA2",0.00599146864560933,0.00669235492447807,0.00666560522815925,0.00754013427063668,0.00818089443874073
"MRC2",0.000645256421783404,0.000918862398170416,0.000716578305649983,0.000859747447143477,0.00103138994525488
"TSPAN9",0.00767595420712908,0.00895354797769017,0.00712461865993124,0.00963334156022625,0.0113221494137868
"UTP18",0.00122754788794237,0.00131126488009748,0.00131729139915945,0.00181506780113009,0.00183872857534326
"PTBP1",0.0117840650885649,0.0133133785663366,0.0124614374527318,0.0159779820492093,0.0168119360476249
