"","LV1","LV2","LV3","LV4"
"ARID3A",0.00607322310663601,0.00555240833519624,0.00594583254405928,0.00575194812845998
"ATF1",0.00624400561643363,0.00573736398100957,0.00605941554185609,0.00597419835700395
"ATF2",0.00561072224684616,0.00518025277835477,0.00547888316881134,0.00537300297039727
"ATF3",0.000758558619055762,0.000699818369415208,0.000744764955601556,0.000728934037059703
"ATF4",0.00556501392808375,0.0050926572740944,0.00533328305455692,0.00530548680220603
"ATF5",0.00228038218903249,0.00211172397090341,0.00222017049004526,0.00217101797420493
"ATF6",0.00362759549482651,0.00333641985145789,0.00355476443879545,0.00347782971163087
"BACH1",0.00472965582156144,0.00436708010135898,0.00465528557449428,0.00454147721486771
"BATF",0.00356318209418796,0.003247609439801,0.00342900489176759,0.00340319709245346
"BCL6",0.00348707811303786,0.00317238056808701,0.00339791401444692,0.0033104889307996
"BHLHE40",0.00484763627819089,0.00444283445636644,0.00475854947305989,0.00462412437628678
"CBFB",0.0069652622568695,0.00643519715255628,0.00677212857187446,0.0066612595336316
"CEBPA",0.0112083256958533,0.0103515304634226,0.0109311575494611,0.0106726951217992
"CEBPB",0.00595232673220762,0.00542770611630157,0.00581663081900069,0.00565918974479565
"CEBPD",0.0087625120177236,0.00798773028647421,0.00857630611156793,0.00832137945344413
"CEBPE",0.00411872510485905,0.00374051581322747,0.00400699094896172,0.00387793605702383
"CEBPZ",0.00693991526947162,0.00640445631592502,0.00673147201172558,0.00662599457775998
"CENPB",0.00834458129362144,0.00769302097415391,0.0081221227279047,0.00795333708608036
"CIC",0.0065718732374403,0.00605005720669508,0.00645501785674929,0.0062867743186394
"CREB3",0.0104583871903491,0.00968270847245628,0.010115116937835,0.00995426065326657
"CREB5",0.00648934611262185,0.00590464458360659,0.00634275150585403,0.00616150215635829
"CTCF",0.00704168083891277,0.00653174556923977,0.00692297716380995,0.00672589068206136
"DBP",0.0104721682119044,0.00973029317859737,0.0102327668949023,0.00997918090323091
"DDIT3",0.00894359618358149,0.00815275662463087,0.0087145047599954,0.00855582158592769
"DNMT1",0.0081320936544226,0.00758463995210651,0.0079892677606371,0.00780352529667749
"EGR1",0.00046677863199841,0.000400953233256244,0.000426834494610179,0.000425859570810317
"ELF1",0.00481588766888235,0.00446479106132599,0.00473057476086421,0.00462502250108478
"ELF4",0.00539736649607877,0.00496671363239258,0.0052783401618745,0.00514497632366266
"ELK3",0.00740998879309595,0.00688002440482882,0.00722693272881472,0.00709471846061452
"ENO1",0.00913267862746997,0.0084685987435229,0.00894659739660987,0.00866402058615983
"EOMES",0.00556628497671418,0.00512140866362054,0.00546033745316236,0.00530343514263777
"EP300",0.00632950980334236,0.00582650572729414,0.00620877660294646,0.00607187905486252
"ERF",0.00851366162276838,0.00780436577735345,0.00836173944503444,0.00806666137584978
"ESRRA",0.0118548199031904,0.010839275695309,0.01150863444594,0.0112851300965576
"ETS1",0.0112104050616307,0.0104667642181357,0.0110263479362165,0.0107628680420315
"ETS2",0.00715079952543862,0.00661359743116431,0.00704477793673134,0.00688047204544667
"ETV6",0.00416609371611518,0.00383086234749487,0.00405322056599316,0.00397052462140044
"ETV7",0.00123043296859791,0.00113283796397903,0.00120028565961511,0.00117505785706547
"FLI1",0.00851976794580469,0.00787838583375054,0.0083673834553715,0.00811581062228675
"FOS",0.00192317905891296,0.00170687544926724,0.0018517738592656,0.00181115460163993
"FOSL2",0.00563298860212709,0.0051264710671541,0.00551369802907795,0.00534335960887379
"FOXO3",0.00279743270585259,0.00259672171529,0.0027479187853018,0.0026698283729328
"FOXO4",0.004276826937045,0.0039637204833569,0.00419973728440641,0.0040762492897242
"FUBP1",0.00663510029406219,0.00618229810201535,0.00652562677657485,0.00636924145529088
"GABPA",0.00563088908759525,0.00523033015299143,0.00552747080166533,0.00543916090186475
"GATA1",0.00501610670420385,0.00471081630651136,0.00490003858626664,0.0047510022223572
"GATA2",0.0039187372818513,0.00366507046158338,0.00389437163553376,0.00371488453969567
"GATA3",0.0073160423445925,0.00682376171969735,0.00719700839130252,0.0070124760208736
"GFI1",0.00419904050041435,0.0038509227193646,0.00408103944877427,0.00403269725735326
"GFI1B",0.00721887888662602,0.006815380816631,0.00708848849710489,0.00681067803806223
"HBP1",0.00760408952153889,0.00696787365467375,0.0074811780128222,0.00723737846076409
"HES4",0.000882862865637714,0.00081292867814645,0.000863035951158084,0.000844729658012571
"HHEX",0.00347013359193388,0.00317799813272792,0.00336929436023107,0.00327911662424433
"HIF1A",0.00341500276852244,0.00314598637932685,0.00334591524258662,0.00324592088689879
"HLX",0.00595855531206554,0.00547067925070974,0.00586085243017909,0.00565443133851634
"HMG20B",0.0113237890143865,0.0104990032132953,0.0110366923862833,0.0107931623172682
"HOXB2",0.00688735539088832,0.00632412863124996,0.00670946286156912,0.00656016651560505
"HSF1",0.0116193936218253,0.0107776784476235,0.0113163077531571,0.0110580800392228
"IKZF1",0.0105876220430023,0.00987466588397395,0.0103940053065986,0.0101195856471687
"IRF1",0.00344140496315274,0.00315423435453014,0.00337938737809115,0.00326959039327173
"IRF2",0.00388684674608704,0.00357600390618931,0.00382405188193397,0.00369624383908548
"IRF3",0.0111739010585826,0.0103306891406237,0.0109147449809192,0.0106611226739681
"IRF5",0.0052927886552073,0.00488176769880504,0.00513531153857401,0.00504665578194724
"IRF7",0.00216086073031732,0.0019874216346066,0.00210588062468746,0.002064593428926
"IRF8",0.00994325824570786,0.00917748014427762,0.00962482223486495,0.00947819479296123
"IRF9",0.00547465249566477,0.00500901298309324,0.00532947877995731,0.0051815599992288
"JUNB",0.00619235333718696,0.00560602985770201,0.00602824638440364,0.00588083838954041
"JUND",0.0112525541379057,0.0103351216970486,0.0109752593429442,0.0106674323965812
"KLF1",0.00529181107426029,0.00497567090895284,0.0051714132440476,0.00505277068309266
"KLF13",0.00981776914827476,0.00908363804773758,0.00963235668686713,0.00941044984018294
"KLF16",0.0124627849237078,0.0114401430120208,0.0121893934863745,0.0118420664020683
"KLF2",0.0139904157595484,0.0129186919249234,0.0136937210399359,0.0133252289830248
