"","LV1","LV2","LV3","LV4"
"ARID3A",1.39338060584923,0.0524775099056039,0.193100272806102,0.253360093558469
"ATF1",0.0438089491747266,0.143222287249634,0.916829351984524,1.10586317977083
"ATF2",0.175129016235747,0.105239734676004,0.801790417007196,1.04593803870768
"ATF3",0.131890747824627,8.29393556151114e-05,0.0168644431697771,0.00705706016419072
"ATF4",0.0895865852971293,0.741489184956722,0.279320434492662,1.33433008252659
"ATF5",0.263436926171353,0.248221141015951,0.107232947412067,0.0647408128413936
"ATF6",0.694448128449702,0.0109564948889046,0.213260941471616,0.344455646706495
"BACH1",0.84338331020165,0.000994811464291433,0.335149650625356,0.407092322031611
"BATF",0.12913910898779,0.598297819009311,0.00909951367212933,0.643178252902441
"BCL6",0.764516780422109,0.00189229927868844,0.144369916524947,0.546475116559065
"BHLHE40",0.965657607561313,0.466885924381573,0.302615117756382,0.339169035945873
"CBFB",0.0551552470801469,0.239298819309888,1.26323381825756,0.992612898015646
"CEBPA",1.27869804974515,0.769244191967629,0.2831434400784,0.713465833715442
"CEBPB",0.973619495266715,0.0722799276715739,0.0179131216471297,0.376863333216419
"CEBPD",1.34524352207016,0.115442731596471,0.0922215237088079,0.522233363609907
"CEBPE",0.442909444919471,0.254341573897574,0.023942018646157,0.186112911106559
"CEBPZ",0.054403116127529,0.371227351573979,0.730277760925707,1.27782410590848
"CENPB",0.399728109733184,1.35816451573457,0.647317451776546,0.766815932486913
"CIC",1.16701375061772,0.336911618817216,0.330105929372729,0.110167606322527
"CREB3",0.378651039736421,1.48222103172304,1.02120361422101,0.0703074827302259
"CREB5",0.909034512273929,0.000851765527835222,0.12576769845679,0.730164177101856
"CTCF",0.846814125225386,0.699367525433979,1.10560140427199,0.0876290561136477
"DBP",0.504558439787765,1.37072602180314,0.945486433747687,0.00203163028289256
"DDIT3",0.427428758853221,0.145843288700137,0.111180285229908,1.2264578805701
"DNMT1",0.419170237493322,0.811030541848017,1.33606782508414,0.184339125221564
"EGR1",0.0168034064932047,0.0533222822273693,0.000630955793896347,0.0194762124119416
"ELF1",0.441519736840896,0.023018336895464,0.711049987296586,0.162555670630458
"ELF4",0.971185834022727,0.00918587966970513,0.529597228474781,0.124932530701345
