"","LV1","LV2"
"ARID3A",0.38223225093578,0.704031252756602
"ATF1",1.01650581786819,0.187267106946143
"ATF2",0.960320351575074,0.199682450410083
"ATF3",0.0608190034486766,0.0306647826280401
"ATF4",0.946760632939285,0.349703739620575
"ATF5",0.114005756405536,0.253153587790956
"ATF6",0.457250139019251,0.217101930053069
"BACH1",0.556012182401298,0.221207667540108
"BATF",0.467009784798441,0.313531798767701
"BCL6",0.617333743274132,0.120667016406214
"BHLHE40",0.387044809341812,0.726864342100852
"CBFB",1.0568065201452,0.323882386324397
"CEBPA",0.627998693552661,0.950330540235786
"CEBPB",0.358051579171558,0.389297098886434
"CEBPD",0.541212335970359,0.586198358625175
"CEBPE",0.210924237250696,0.322730377149414
"CEBPZ",1.06484848003545,0.246925879536043
"CENPB",0.585154120328522,1.12711395370312
"CIC",0.211955628454165,0.848120321900094
"CREB3",0.628039230237452,0.968577147845841
"CREB5",0.754116863889919,0.148063017590387
"CTCF",0.302372090333521,1.15491934381902
"DBP",0.456685820119395,1.18678143996681
"DDIT3",0.813393874990288,0.113435142476455
"DNMT1",0.451291287243023,0.918858041984227
"EGR1",0.0191787244900256,0.026372763484685
"ELF1",0.425481701398571,0.318044134543996
"ELF4",0.284620648978465,0.651115325217718
"ELK3",0.807327452260055,0.464383766158024
"ENO1",0.181507976591775,1.29556694855425
"EOMES",0.28388116953196,0.479702750131866
"EP300",0.641781912135971,0.719688630835982
"ERF",0.48721204873384,0.967700656313477
"ESRRA",0.809223857459733,0.579911102357066
"ETS1",0.443222680595267,0.587943211076571
"ETS2",0.387276474660821,0.510376854506656
"ETV6",0.355447406689033,0.343478071276444
"ETV7",0.0977073422169065,0.0696046463239626
"FLI1",0.79792484659995,0.810286994677671
"FOS",0.176750092190834,0.109120511782441
"FOSL2",0.566089355131166,0.449525419887206
"FOXO3",0.210727494527934,0.306441916070948
"FOXO4",0.183677507938053,0.42286561375984
"FUBP1",0.518069489936641,0.745143805530676
"GABPA",1.06592284146625,0.296537407311283
"GATA1",0.300737985013639,0.459289901806998
"GATA2",0.359994631851189,0.402130591611752
"GATA3",0.471503153085302,0.91391813679374
"GFI1",0.352139263334797,0.265912460613859
"GFI1B",0.12934619077305,0.822525347634999
"HBP1",0.913109890232506,0.416791259577922
"HES4",0.133880792153658,0.0242994542129109
"HHEX",0.49621427946786,0.122969209080276
"HIF1A",0.41719327147611,0.280320557888038
"HLX",0.367240937931915,0.688910288941026
"HMG20B",0.619002924591139,1.1159734149294
"HOXB2",0.72004213269823,0.372292575488559
"HSF1",0.506746708981226,1.36788310729679
"IKZF1",0.233095727152695,0.945165172073778
"IRF1",0.176829176650625,0.298428227668601
"IRF2",0.240303968935527,0.359876994992231
"IRF3",0.55410632543441,1.05081303432308
"IRF5",0.294891849249269,0.339993948015671
"IRF7",0.135205997357531,0.0663469889454857
"IRF8",0.553112248993042,0.498841071031318
"IRF9",0.405424332384513,0.42450774000803
"JUNB",0.503781920616475,0.317485903163024
"JUND",0.389676259707981,0.995850642829737
"KLF1",0.201593604776389,0.421275821204174
"KLF13",0.668565027393789,0.886921911881277
"KLF16",0.486453941633673,1.12849040297343
"KLF2",0.522291916278786,1.13991390840545
"KLF3",0.725795455788759,0.409973877386625
"KLF4",0.531352948942806,0.688438567550965
"LEF1",0.440925890261169,0.516414828057751
"LMO2",0.291508359056692,0.107640540342805
"MAFB",0.0900982568711217,0.162592850555517
"MAFK",0.769387972599796,0.915801523609356
"MAX",0.537967271928049,0.823447002619851
"MAZ",0.632109939097644,1.1946139664355
"MBD2",1.05574790572484,0.320983940189839
"MEF2A",0.589936232347481,0.171771859161528
"MEF2D",0.631671554776955,1.16786202969871
"MXI1",0.127628042840089,0.237515184545425
"MYBL1",0.861374470743552,0.166188972006859
"MYBL2",0.309035033184618,0.288274279609957
"MYC",0.577449670985748,0.770099991108082
"NFATC2",0.265677987937205,0.517953429903825
"NFATC3",0.445333169865632,1.10563917735158
"NFE2",0.329900289389347,0.665326212984786
"NFE2L2",0.590672367387848,0.414020719021853
"NFIX",0.116615148973299,0.428309237559443
"NFKB1",0.284925931495049,1.07763040309261
"NFKB2",0.319434132364404,0.98995806814362
"NFYC",0.342359676102665,1.17495420366932
"NR1H2",0.286381200705604,1.2642651079884
"NR3C1",1.03029791517484,0.442368421568045
"OLIG1",0.353416694791011,0.45619984066015
"PBX2",0.685572412856533,0.852252331356514
"POU2F2",0.411124379041933,0.863126580928605
"RARA",0.346002702483196,0.884450915501065
"RBPJ",0.618723521141987,0.393793577254892
"RELA",0.240251313366325,1.42962240539967
"RELB",0.342037661187781,0.868452510256476
"RFX2",0.285207607479696,0.425685701277184
"RFX5",0.985173003806814,0.641158314679487
"RORA",0.956293621834875,0.234314812854492
"RUNX3",0.23348384212931,0.698560909171163
"RXRA",0.39917899544198,0.980161371955816
"RXRB",0.680841675351828,1.12395303765149
"SMARCC2",0.333377630815634,1.13983889372959
"SP1",0.57909207372318,0.538142530151507
"SP2",0.319472526307214,1.3986745494259
"SP3",1.1217458426805,0.0896870042353335
"SPI1",0.345913204994801,1.00702198345906
"SREBF1",0.417332800714078,0.664246943205738
"SREBF2",0.48633037331367,0.951256613241956
"STAT1",0.221289140407936,0.156855795981222
"STAT2",0.166757829336577,0.111921852952409
"STAT3",0.346153687200276,0.873401311347541
"STAT4",0.717926383803911,0.643880861570218
"STAT5A",0.296766359984136,0.858832002324696
"STAT5B",0.35307083969076,0.484579016349565
"STAT6",0.677512418162032,0.93852700740749
"TAL1",0.157379802029361,0.486362198672839
"TBX21",0.184784278234667,0.462506911545107
"TCF3",0.640235542605027,0.810218246051615
"TCF7",0.418249972836652,0.654216933396511
"TFDP1",0.177487544924166,0.184742798176711
"TFE3",0.383901247280857,0.831843692244136
"TFEB",0.372345297416197,0.991936199046135
"TFEC",0.363054246675052,0.0206658380491469
"TOPORS",0.929973504869072,0.198472748776399
"TP53",0.294056463668532,1.19188522271781
"USF1",0.595835825603858,0.40667559258192
"USF2",0.490021554269105,0.942436380312044
"VENTX",0.4137634889313,0.566942891107514
"XBP1",0.377323714838534,0.577739150705563
"YBX1",0.380071304808367,0.6189051630658
"YY1",0.753293709521246,0.893939389508579
"ZBTB1",1.0628543370552,0.129820231258459
"ZBTB18",1.05607208809351,0.180012302879081
"ZBTB33",0.905800849208916,0.170517120225066
"ZBTB4",0.642002562522428,0.915428860382988
"ZBTB7A",0.373550629528995,1.0684472759153
"ZBTB7B",0.494304714690772,0.573933529664965
"ZNF32",0.858162831212412,0.168080336338684
"ZNF683",0.162619006863381,0.41312516122972
"FGR",0.456639175504505,0.62804139719595
"SLC4A1",0.130063742264617,0.29672033906221
"CIAPIN1",0.614187928476662,0.939980063512031
"WDR54",0.459340691488502,0.864830611253568
"KMT2E",0.751964162168746,0.672370694173108
"ITGA2B",0.0602456511093565,0.500162719316862
"GDE1",0.424825991459888,0.597270410393141
"SPATA20",0.813197265313822,0.619669124220736
"IFRD1",0.890924495832486,0.0891791918887817
"PAF1",0.232622990712942,1.41933759143659
"CEACAM21",0.942648215332591,0.855354599314172
"PTBP1",0.278020509264229,1.29072956052047
"ALAS1",0.264486818293523,0.941449143841929
"PLEKHO1",0.392854541678966,0.683114408584715
"RABEP1",1.00353278342654,0.384108835528082
"AKR7A2",0.52267930007003,1.18976935819849
"TBXAS1",0.422371564780812,0.701056763182192
"PARP12",0.274091006583812,0.0390780060726155
"ACAA1",0.670390948637525,0.401218797514909
"LTK",0.433807882051858,0.489476069878058
"EIF4B",0.844892121623952,0.728920398761496
"SMARCD1",0.574816023041011,1.31212001469359
"CD84",0.760487320908479,0.287064568012395
"THUMPD1",1.02418189689916,0.363978006821444
"NUCB2",0.842551011686157,0.258465537203838
"CPSF1",0.647705984453472,0.794329784326597
"UBE2D1",0.672141648663225,0.21972274726085
"MARK2",0.365803938007383,1.02235191255044
"FCGR2B",0.530709941032503,0.210047603010455
"ACADVL",0.369518993442782,0.861175976498714
"STK10",0.298979475952442,1.12049106384599
"IGF2BP2",0.0959793664414051,0.302711810853881
"SEC31B",0.85687168638832,0.543569282604527
"MBNL3",0.157402131704236,0.280548336372201
"XAB2",0.297475659959922,1.25662257005974
"GNB1",0.450954300086187,1.40819940356892
"P2RY10",0.874075530114292,0.430787042116807
"ITM2A",0.684932612714576,0.259345384482479
"ITCH",1.04843992235877,0.578306633402689
"MKNK1",0.493036391813568,0.265140121007473
"XPO1",0.853490290679091,0.35181352493548
"YTHDC1",0.590679009766778,0.542864867769396
"NOA1",0.798827071732474,0.907788603764544
"APLP2",0.27923892841199,0.953765777663458
"CD82",0.34168832037807,0.580001740869283
"PIGS",0.330595926378918,1.25960051645734
"DDX18",0.640643699093487,0.747854624916614
"PEBP1",0.575824557980823,0.951330126006738
"ZNF302",1.11504201208009,0.159442351695467
"CDIP1",0.332837220368736,1.30749261684623
"GMIP",0.412833418905652,0.766590656471078
"LAG3",0.162465189776175,0.470036280526538
"MLF2",0.217814827816379,1.13102552824467
"RCOR1",0.413999280430658,0.571970211998555
"LTBP4",0.402729336699015,0.627281464647682
"WAC",0.97684964960419,0.530342142839771
"SMIM24",0.0987719732431035,0.464815731199427
"SRPK1",0.332436903963372,0.144832768958276
"JAK2",0.674153904227971,0.0671282809705408
"ABLIM1",0.44709701778046,0.518780200468287
"NDUFB7",0.510779957477575,0.485153266312121
"OSM",0.492595201703022,0.140043227222823
"TFIP11",0.260885453973065,1.3121478717225
"MTMR3",0.458654651962623,0.583868779968768
"APOL1",0.120304511971866,0.157051992221375
"TXN2",0.804499797530658,0.66761114873622
"EIF3D",0.669847036237904,0.857395432031901
"PLEK2",0.242975081180997,0.500664198235262
"DICER1",0.748179865050822,0.289143261429371
"TCL1A",0.539320268296595,0.343688857054868
"TELO2",0.69517847749137,0.583567627924087
"DCAF11",0.304762708746633,1.13907759490571
"RAB5IF",0.814748545571714,0.416876830070087
"PSMA7",0.822005657893328,0.456497577518939
"HCK",0.35478413499399,0.730161601830753
"TM9SF4",0.516461504455059,1.07667795222843
"PSMD10",1.0463780337597,0.29182460283547
"PQBP1",0.442636558415607,0.78976517228359
"PCSK1N",0.119548019027695,0.468733471621798
"GLA",0.398018458893883,0.674990705216076
"PARP4",0.377028715882618,1.02562223113309
"CORO1A",0.396945187997283,1.34867939557643
"ARL2BP",0.975257873274189,0.754570541816137
"PSMD7",0.541563861483649,0.95589521393873
"NPRL3",0.124647016620847,0.660769188752153
"COTL1",0.332961867259606,1.08885690894634
"STUB1",0.435048362095808,0.855885345421244
"MEFV",0.392121493888621,0.27700616900479
"PRSS33",0.204262512813848,0.347139559713562
"RBL2",0.732191899245144,0.535396313913008
"BCKDK",0.3661861507643,1.11988808329041
"RNF40",0.226955779764854,1.3704670477245
"LACTB",0.363965821274091,0.204485328418966
"CSK",0.289864922673864,1.38494155480278
"BLOC1S6",1.08871011128648,0.163656660159515
"CPQ",0.454322280900127,0.85815026543186
"DECR1",0.654755220468753,0.922359288156445
