"","LV1","LV2","LV3","LV4"
"ARID3A",0.652359810636322,0.23516604756612,1.20133663672211,0.0390720511047597
"ATF1",0.347665062297156,0.134027414096148,0.306369901095352,1.35663770992526
"ATF2",0.402266104637671,0.131308589357042,0.394826131521336,1.17270803226573
"ATF3",0.199204543544838,0.000942081538501438,0.0151553648125871,0.00239980136427091
"ATF4",0.354315755604588,0.331999072508546,0.250846126199927,1.37265219540619
"ATF5",0.346132270113022,0.210961221829553,0.0896544772824693,0.068378541491376
"ATF6",0.372746438385744,0.0475598618966979,0.724976928163585,0.17859541365942
"BACH1",0.554609845339563,0.0184692546665828,0.800472170579124,0.190162153795958
"BATF",0.390787094651167,0.412368275847565,0.019572009305101,0.591029815473846
"BCL6",0.0438356736138511,0.0100271005570818,1.10763846447755,0.284797109339003
"BHLHE40",1.00476091018439,0.553217588856799,0.400413181523481,0.182392415135723
"CBFB",0.399615365097236,0.335805068329993,0.313488502995877,1.42170393239441
"CEBPA",1.01152888301345,0.720419373039387,0.836607060417428,0.428350008122556
"CEBPB",0.589773658059643,0.10272140814536,0.721468156850397,0.0740071117633587
"CEBPD",0.675147721741041,0.129698600865596,1.24362065977617,0.145112993516235
"CEBPE",0.3889792575603,0.204267812889989,0.317558273276567,0.111198135172149
"CEBPZ",0.426245519651904,0.174049281293206,0.267402467197869,1.47006875955095
"CENPB",0.76911625925865,1.24499762813752,0.169729924790966,0.992502150852956
"CIC",0.611335354468502,0.57612227941643,0.82473900781784,0.0355745313713107
"CREB3",0.147396946620944,1.39634126157115,0.505512288746408,0.818212243734229
"CREB5",0.416949372258066,0.00531817427467434,1.08141149651539,0.312732893920473
"CTCF",0.885197775334283,1.15391881278407,0.50879622427243,0.206093205847865
"DBP",0.586310896082467,1.70867149393417,0.564464980179334,0.0702992415536268
"DDIT3",0.12710275544466,0.0301386520371441,0.673739090942442,0.876800982231577
"DNMT1",0.474016748553121,1.13944980048152,0.337503519521949,0.569638453628215
"EGR1",0.0210461257250352,0.0109068123292174,0.0289402952463072,0.022145217814817
"ELF1",0.591826633672419,0.165901754811423,0.365368334080298,0.31074417716709
"ELF4",1.00863233605846,0.0650045609009388,0.641546256794997,0.102193924448758
"ELK3",0.551620295320707,0.460598985238392,0.264886906984929,1.04915689388573
"ENO1",0.0195658891796581,1.67268306295667,0.829284617713573,0.132561017494811
"EOMES",0.195895234111419,0.654552744882974,0.142579757534431,0.401518895251028
"EP300",0.845757219635111,0.347261802234279,1.04321063185703,0.359299788305955
"ERF",0.553270481997129,0.680046566546071,1.33252289661632,0.175547432254912
"ESRRA",0.511429271214182,0.456047162578029,0.767928016266886,0.831717396392689
"ETS1",0.43498471818622,0.612098972362248,0.289703108641767,0.568068614496343
"ETS2",0.572540938053067,0.111114509142567,1.0109658760444,0.0658344925635504
"ETV6",0.74889631896023,0.112925345420577,0.439544891527408,0.0960117641982259
"ETV7",0.28487143767497,0.0093885565774724,0.064078719558647,0.00752876613244523
"FLI1",1.21912179058825,0.37425468726966,0.921435636681026,0.571545719925
