"","LV1","LV2","LV3","LV4"
"ARID3A",0.00722126543029415,0.00706759769986035,0.0072745344547085,0.00661173725534035
"ATF1",0.00748908870458501,0.00726106606392371,0.00751088940233951,0.00689161614818656
"ATF2",0.0067594780569186,0.00653611667996162,0.00674593989023111,0.00621123850583754
"ATF3",0.000913250326620394,0.000891257504343787,0.000910674236855518,0.000834756814811031
"ATF4",0.00649921033704991,0.00631882793452137,0.00651738796262447,0.00598331647035626
"ATF5",0.00260574241906327,0.00254207128200606,0.00259143924197247,0.00236466130347318
"ATF6",0.0042815547490725,0.00411681912404715,0.00427986051905449,0.00389821211914101
"BACH1",0.00527102395920134,0.00509527995143176,0.00521889082420326,0.00480072868666689
"BATF",0.00437514948663057,0.00430744503830894,0.00441289515572282,0.0040251731116653
"BCL6",0.00403405200073257,0.00388678268822964,0.00402849996573667,0.00371476234363629
"BHLHE40",0.00553217244034292,0.0053536758855435,0.00549803716952774,0.00500130591520039
"CBFB",0.00834460468006728,0.00810581772907717,0.00830462589232149,0.00766579302292001
"CEBPA",0.0124335756255298,0.0121813597779225,0.0123317336259904,0.0114044363737352
"CEBPB",0.00667473630402332,0.00642250636063215,0.00664200480511612,0.00606983841306654
"CEBPD",0.0102284268547674,0.00984068494579603,0.0101656285202656,0.00927522337007694
"CEBPE",0.00508720384221829,0.00494921028946167,0.00512493246170357,0.00460753202966894
"CEBPZ",0.0082793879647932,0.00796441694971761,0.0082740166173032,0.00757719666171764
"CENPB",0.00980523502860755,0.0096399223692612,0.00979265551757508,0.00907901003650937
"CIC",0.00754478585542549,0.00736533435798375,0.00754760300864817,0.00688536129041073
"CREB3",0.0117163531707363,0.0115387273914557,0.011739553174642,0.0107843204958625
"CREB5",0.0075961108339422,0.00728387637345713,0.00757356127014692,0.00698923904100136
"CTCF",0.00813973680361105,0.00799435384260007,0.00813295091231013,0.00744241227959299
"DBP",0.0128858900315131,0.0125720582792886,0.0129105198681913,0.0118222639890373
"DDIT3",0.00970652578195859,0.00925133019186768,0.0097582405678864,0.00889547121745638
"DNMT1",0.00887173607206445,0.00867796926159842,0.00888295230246289,0.00813800402275206
"EGR1",0.000513859027342571,0.000454900571834998,0.000544957871872,0.000464233939306038
"ELF1",0.00584115507378312,0.0057190269134882,0.00581823350069008,0.00534496626754667
"ELF4",0.0063942764170372,0.00625977459491033,0.00637310632146337,0.00584130426674737
"ELK3",0.00883814256526827,0.00852399471575575,0.00876926221884027,0.00807730628932549
"ENO1",0.0108165665418619,0.0105755832787743,0.0107599207720478,0.0098598475192123
"EOMES",0.0063258099290085,0.00625545272343555,0.00637733343330221,0.00586256390272777
"EP300",0.00809743142740659,0.00788500905160171,0.00809098884660837,0.00740465461275982
"ERF",0.00998464253139818,0.00973041842281366,0.0100074823952033,0.00912042451834984
"ESRRA",0.0143635390662752,0.0140429196688515,0.0143143543918768,0.0131900238959638
"ETS1",0.0109111858732915,0.0106748517637392,0.0109552146104594,0.0100382280019776
"ETS2",0.00871759291289068,0.00848156171748376,0.00871871938484462,0.007927735987139
"ETV6",0.00483819053578007,0.00471897423351061,0.00485237058288427,0.00440661607028035
"ETV7",0.00143138127145675,0.00140704596197024,0.0014326008778637,0.00130906282322072
"FLI1",0.00981055285981005,0.00952433131589511,0.00973484354079815,0.00890532925620649
"FOS",0.00214060054218742,0.00205886807956307,0.00224386145471898,0.00201314857355252
"FOSL2",0.00679489751817878,0.00658214317368165,0.00682835323276655,0.00626619073721855
"FOXO3",0.00340868464273907,0.00330111961717976,0.00340975633921876,0.00311946969568174
"FOXO4",0.00482834891692676,0.00469521020844553,0.00483624007383926,0.00438811481678038
"FUBP1",0.00772063162703303,0.00756435508336729,0.00770829694371404,0.00706978452173322
"GABPA",0.00791230172058924,0.00764776025478107,0.00788687301816239,0.00727650084341809
"GATA1",0.00572737733420961,0.0055295046102715,0.00572695036513723,0.00519870963194478
"GATA2",0.00442239078002272,0.00435431690196261,0.00443944014295242,0.00404305599271596
"GATA3",0.00870487367259558,0.00848900339998801,0.00871904597871178,0.00798112911940598
"GFI1",0.00461996048880203,0.00454800739427409,0.00462041937064598,0.0042601578606744
"GFI1B",0.00823753728578108,0.00792189752528902,0.00824161920438389,0.00742061013448486
"HBP1",0.00896840483948152,0.00864541994587498,0.00891740565991181,0.00812584124467874
"HES4",0.00101440728527256,0.000994281434707459,0.00101593077451572,0.000939170109793985
"HHEX",0.00431493974271827,0.0041553683920999,0.0042408812947878,0.00391734474649487
"HIF1A",0.00415973873849541,0.00402401471905237,0.00412926481085442,0.00377605228851294
"HLX",0.00700219352732911,0.00674628032891166,0.00700921914187663,0.00640107947303917
"HMG20B",0.0133310346819961,0.0130837795598917,0.0133489660402791,0.0122355525441485
"HOXB2",0.0082141256216471,0.00797236753139791,0.00822106723070324,0.00753496658561069
"HSF1",0.0139181666448645,0.0136684884557578,0.0139007687061782,0.0127564135160372
"IKZF1",0.00984046136007909,0.00966504279774597,0.00988105262389444,0.00903983120245477
"IRF1",0.00405200119012852,0.00394349610454855,0.00402633322132988,0.00368969863024486
"IRF2",0.00467224534965493,0.00455791231598583,0.00465322470082485,0.0042338778701109
"IRF3",0.0132388812335732,0.013012243674197,0.0132554732829866,0.012232907551564
"IRF5",0.00614542338848322,0.00599880802658897,0.00606908650939753,0.00559486912490853
"IRF7",0.00242501375643057,0.00237256553127224,0.00242180664180209,0.00221997806133583
"IRF8",0.00850907065270647,0.00823495355466472,0.00841273963473151,0.00770341880439359
"IRF9",0.00642899392238078,0.00626215232846102,0.00641825383129326,0.00589031579593713
"JUNB",0.00690104594875104,0.00664262430348686,0.00697069002736724,0.00635083733940958
"JUND",0.0132698520337285,0.012916378212532,0.013228244429167,0.0121738632013582
"KLF1",0.00583167735211296,0.00564867515282947,0.00582705509661488,0.00531029595390544
"KLF13",0.0112671453248723,0.0110183473222027,0.011216407543261,0.0103540414836887
"KLF16",0.0146895971300078,0.0143397712361276,0.0147383627672321,0.0134768360558653
"KLF2",0.0160084870617467,0.0155626335104366,0.0159627045326801,0.0146480701100734
"KLF3",0.00832981244317192,0.00803676331586409,0.00831230810216703,0.00763627330027288
"KLF4",0.011281238421125,0.0110400803002678,0.0111770623630645,0.0103300323921174
"LEF1",0.00837474764125037,0.00812427699600324,0.00837489348863144,0.00767075055443674
"LMO2",0.00407155204993666,0.00396607272792148,0.00405008739462531,0.00372379820846189
"MAFB",0.00288468408183142,0.00279808953720861,0.0028459682515046,0.0026163730110034
"MAFK",0.0163763806230753,0.0160609295244317,0.0164298374392362,0.0151083307157781
"MAX",0.0149461284742476,0.0144141384482004,0.0148661936040949,0.013498469602426
"MAZ",0.0165550677042825,0.0162195196503354,0.0165622545517029,0.0152464092853384
"MBD2",0.0104233294898669,0.0101135749788645,0.0103613924575496,0.00955113061457977
"MEF2A",0.00733422593749528,0.00708414860102475,0.00727234924841433,0.00667471374868957
"MEF2D",0.0190784632358391,0.0186202966212068,0.0191112204966252,0.0174580716631062
"MXI1",0.00410331550765374,0.00394870551689677,0.00409588678643603,0.00373590581476486
"MYBL1",0.00823858846167276,0.0079335156719205,0.0082571277261965,0.00765109358761738
